UNIQUE_ID,COMID,type,TERMCODE,TERMNAME_HUC10,TERMNAME_HUC8,TERMNAME_HUC6,TERMNAME_HUC4,TERMNAME_HUC2,damName,latitude,longitude
91992900,91992900,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.88542557,-64.59265137
91993040,91993040,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.8228717,-64.68435757
91993140,91993140,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.79109955,-64.59481812
91993180,91993180,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.76428875,-64.43661087
91993200,91993200,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.76118088,-64.44045258
91993380,91993380,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.70035172,-64.4977951
91993710,91993710,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.60998917,-64.28911591
91993860,91993860,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.59694481,-64.52490878
91994320,91994320,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.44929504,-64.54244995
91994790,91994790,outlet,NICN910000000,Chaleur Bay - Gulf of St. Lawrence,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,Atlantic Ocean,n/a,48.55125809,-65.02775574
