UID_V6,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN,dam_NAME
443720,1998570,dam,Upper Saint John - Verte,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,SECOND FALLS DAM
1050720,2000620,dam,Upper Saint John - Verte,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,GRAND FALLS
442720,1999470,dam,Tobique,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,SISSON LAKE
441720,2002970,dam,Tobique,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,TOBIQUE
439720,2005240,dam,Central Saint John - Becaguimec,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,BEECHWOOD
440720,2005530,dam,Central Saint John - Becaguimec,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,HARGROVE
435720,2012990,dam,Central Saint John - Keswick,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,MACTAQUAC
436720,2023060,dam,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,MUSQUASH WEST BRANCH
437720,2023750,dam,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,MUSQUASH EAST BRANCH
438720,2023500,dam,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,LOG FALLS
428720,1995720,dam,Chaleur Bay - Northwestern,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,SAINT-ELZÉAR
445720,1995780,dam,Chaleur Bay - Northwestern,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean,"ÉPERLAN, RUISSEAU DE L'"
