UNIQUE_ID,FEATUREID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
CT_10001,7710452,dam,Konkapot River-Housatonic River,110000503,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10004,7710242,dam,Konkapot River-Housatonic River,110000503,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10007,7710104,dam,Konkapot River-Housatonic River,110000503,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_1001,7714370,dam,Pomperaug River,110000509,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_1002,7712862,dam,Pomperaug River,110000509,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_1003,7714048,dam,Pomperaug River,110000509,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_1004,7712870,dam,Pomperaug River,110000509,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_1006,7712764,dam,Pomperaug River,110000509,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_1007,7713692,dam,Pomperaug River,110000509,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10101,6177120,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10102,6177292,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10103,6177120,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10106,6177120,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10107,6177230,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10108,6177230,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10109,6177120,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_1011,7712870,dam,Pomperaug River,110000509,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10110,6177120,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10115,6177216,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10116,6177230,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10119,6178122,dam,Quinnipiac River,110000401,Quinnipiac,1100004,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_1016,7713692,dam,Pomperaug River,110000509,Housatonic,1100005,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_102,6162683,dam,Willimantic River,110000201,Shetucket,1100002,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10201,6141050,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10202,6140788,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10204,6168718,dam,Thames River-Frontal New London Harbor,110000302,Thames,1100003,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10205,6140814,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10206,6140860,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10207,6140834,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10208,6140814,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10211,6140848,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10214,6140786,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10215,6149199,dam,Lower Quinebaug River,110000107,Quinebaug,1100001,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10217,6140900,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10218,6140820,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10219,6140820,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10223,6140786,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10224,6140786,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10225,6140788,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10226,6149191,dam,Pachaug River,110000106,Quinebaug,1100001,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10227,6149191,dam,Pachaug River,110000106,Quinebaug,1100001,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10229,6140864,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10234,6140920,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10235,6168910,dam,Mystic River-Frontal Fishers Island Sound,110000303,Thames,1100003,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10240,6149191,dam,Pachaug River,110000106,Quinebaug,1100001,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10244,6140858,dam,Lower Pawcatuck River,109000503,Pawcatuck-Wood,1090005,Massachusetts-Rhode Island Coastal,10900,Massachusetts-Rhode Island Coastal,109,New England Region,1
CT_10246,6149201,dam,Lower Quinebaug River,110000107,Quinebaug,1100001,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_103,6162953,dam,Willimantic River,110000201,Shetucket,1100002,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10302,7732721,dam,Mianus River-Frontal Long Island Sound,110000604,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10303,7732487,dam,Norwalk River-Frontal Norwalk Harbor,110000602,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10305,7732585,dam,Norwalk River-Frontal Norwalk Harbor,110000602,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10306,7732697,dam,Norwalk River-Frontal Norwalk Harbor,110000602,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10308,7732561,dam,Norwalk River-Frontal Norwalk Harbor,110000602,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10309,7732561,dam,Norwalk River-Frontal Norwalk Harbor,110000602,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10312,7732947,dam,Mianus River-Frontal Long Island Sound,110000604,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10313,7732777,dam,Mianus River-Frontal Long Island Sound,110000604,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10314,7732573,dam,Norwalk River-Frontal Norwalk Harbor,110000602,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10315,7732585,dam,Norwalk River-Frontal Norwalk Harbor,110000602,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10318,7732519,dam,Saugatuck River-Frontal Long Island Sound,110000601,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
CT_10325,7732947,dam,Mianus River-Frontal Long Island Sound,110000604,Saugatuck,1100006,Connecticut Coastal,11000,Connecticut Coastal,110,New England Region,1
