UNIQUE_ID,FEATUREID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
e2061,9962290,dam,Mill Creek-Ogeechee River,306020107,Upper Ogeechee,3060201,Ogeechee,30602,Ogeechee-Savannah,306,South Atlantic-Gulf Region,3
e2077,9945002,dam,Black Creek,306020205,Lower Ogeechee,3060202,Ogeechee,30602,Ogeechee-Savannah,306,South Atlantic-Gulf Region,3
e3082,9211246,dam,Eury Dam-Little River,304010403,Upper Pee Dee,3040104,Upper Pee Dee,30401,Pee Dee,304,South Atlantic-Gulf Region,3
e3083,9210824,dam,Pee Dee River-Blewett Falls Lake,304010405,Upper Pee Dee,3040104,Upper Pee Dee,30401,Pee Dee,304,South Atlantic-Gulf Region,3
e3085,9745932,dam,Henry Fork,305010201,South Fork Catawba,3050102,Santee,30501,Edisto-Santee,305,South Atlantic-Gulf Region,3
e3089,11239631,dam,Walnut Creek-Neuse River,302020201,Middle Neuse,3020202,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3090,11239929,dam,Moccasin Creek-Neuse River,302020117,Upper Neuse,3020201,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3091,11561198,dam,Shallotte River,304020802,Coastal Carolina,3040208,Lower Pee Dee,30402,Pee Dee,304,South Atlantic-Gulf Region,3
e3092,11571360,dam,Toisnot Swamp,302020303,Contentnea,3020203,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3093,11571384,dam,Toisnot Swamp,302020303,Contentnea,3020203,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3094,11573660,dam,Crooked Creek-Tar River,302010104,Upper Tar,3020101,Pamlico,30201,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3095,11572824,dam,Toisnot Swamp,302020303,Contentnea,3020203,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3096,11573650,dam,Black Creek,302020302,Contentnea,3020203,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3098,25907830,dam,White Marsh,304020602,Waccamaw,3040206,Lower Pee Dee,30402,Pee Dee,304,South Atlantic-Gulf Region,3
e3099,26875374,dam,Lower Little River,302020116,Upper Neuse,3020201,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3100,3350851,dam,Tranters Creek,302010305,Lower Tar,3020103,Pamlico,30201,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3101,8758515,dam,Tabbs Creek-Tar River,302010102,Upper Tar,3020101,Pamlico,30201,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3102,8760723,dam,Aycock Creek-Tar River,302010101,Upper Tar,3020101,Pamlico,30201,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3105,8760793,dam,Lynch Creek-Tar River,302010103,Upper Tar,3020101,Pamlico,30201,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3107,8762663,dam,Beech Branch-Tar River,302010109,Upper Tar,3020101,Pamlico,30201,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3108,10512338,dam,Shocco Creek,302010201,Fishing,3020102,Pamlico,30201,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3111,8811261,dam,Upper South River,303000601,Black,3030006,Cape Fear,30300,Cape Fear,303,South Atlantic-Gulf Region,3
e3112,8811385,dam,Mill Creek,302020113,Upper Neuse,3020201,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
e3113,8813117,dam,Upper South River,303000601,Black,3030006,Cape Fear,30300,Cape Fear,303,South Atlantic-Gulf Region,3
e3114,8813121,dam,Upper South River,303000601,Black,3030006,Cape Fear,30300,Cape Fear,303,South Atlantic-Gulf Region,3
e3115,8813123,dam,Upper South River,303000601,Black,3030006,Cape Fear,30300,Cape Fear,303,South Atlantic-Gulf Region,3
e3116,8786295,dam,Upper Little River,302020115,Upper Neuse,3020201,Neuse,30202,Neuse-Pamlico,302,South Atlantic-Gulf Region,3
