FNODE_,FNODE_,type,WSCSSDANAM,,,,WSCSDANAME,WSCMDANAME,OCEAN
2022660,2022660,outlet,Lower Saint John - Kennebecasis,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2022700,2022700,outlet,Lower Saint John - Kennebecasis,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2024380,2024380,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2024870,2024870,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2024880,2024880,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2023550,2023550,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2025010,2025010,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2025220,2025220,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2025790,2025790,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2025800,2025800,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2027430,2027430,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2028920,2028920,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
2030900,2030900,outlet,Magaguadavic,,,,Saint John and Southern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1995650,1995650,outlet,Lower Restigouche - Nouvelle,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1995770,1995770,outlet,Lower Restigouche - Nouvelle,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
1996010,1996010,outlet,Lower Restigouche - Nouvelle,,,,Gulf of St. Lawrence and Northern Bay of Fundy (N.B.),Maritime Provinces Drainage Area,Atlantic Ocean
