UNIQUE_ID,FEATUREID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
1737130,1737130,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
1736282,1736282,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
1737140,1737140,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
1736286,1736286,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
1736290,1736290,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
1736338,1736338,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
1736350,1736350,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
166173479,166173479,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
2682820,2682820,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
2682856,2682856,outlet,Penobscot River-Penobscot Bay,102000510,Lower Penobscot,1020005,Penobscot,10200,Penobscot,102,New England Region,1
2682920,2682920,outlet,Bagaduce River-Frontal Penobscot Bay,105000216,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2678762,2678762,outlet,Lower Machias River,105000206,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2676916,2676916,outlet,Roque Bluffs-Frontal Atlantic Ocean,105000208,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2677174,2677174,outlet,Roque Bluffs-Frontal Atlantic Ocean,105000208,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2678314,2678314,outlet,Pleasant River-Frontal Atlantic Ocean,105000209,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2678254,2678254,outlet,Pleasant River-Frontal Atlantic Ocean,105000209,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2678346,2678346,outlet,Pleasant River-Frontal Atlantic Ocean,105000209,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2677338,2677338,outlet,Schoodic Point-Frontal Atlantic Ocean,105000211,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2677342,2677342,outlet,Schoodic Point-Frontal Atlantic Ocean,105000211,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2680272,2680272,outlet,Frenchman Bay-Frontal Atlantic Ocean,105000214,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2680262,2680262,outlet,Frenchman Bay-Frontal Atlantic Ocean,105000214,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2680230,2680230,outlet,Frenchman Bay-Frontal Atlantic Ocean,105000214,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2680356,2680356,outlet,Frenchman Bay-Frontal Atlantic Ocean,105000214,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2681538,2681538,outlet,Union River Bay,105000213,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2682718,2682718,outlet,Union River Bay,105000213,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683482,2683482,outlet,Blue Hill Bay-Frontal Atlantic Ocean,105000215,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683658,2683658,outlet,Bagaduce River-Frontal Penobscot Bay,105000216,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685846,2685846,outlet,Passagassawakeag River-Frontal Belfast Bay,105000218,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2684282,2684282,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685766,2685766,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685488,2685488,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2680406,2680406,outlet,Frenchman Bay-Frontal Atlantic Ocean,105000214,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683300,2683300,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683504,2683504,outlet,Blue Hill Bay-Frontal Atlantic Ocean,105000215,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683342,2683342,outlet,Eggemoggin Reach-Frontal Atlantic Ocean,105000217,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2686254,2686254,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2686252,2686252,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685526,2685526,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2686246,2686246,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685942,2685942,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685518,2685518,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685514,2685514,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685510,2685510,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685486,2685486,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685782,2685782,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685780,2685780,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2685452,2685452,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683290,2683290,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683282,2683282,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683246,2683246,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683206,2683206,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683082,2683082,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2684284,2684284,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683020,2683020,outlet,Penobscot Bay-Frontal Atlantic Ocean,105000219,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
2683004,2683004,outlet,Passagassawakeag River-Frontal Belfast Bay,105000218,Maine Coastal,1050002,Maine Coastal,10500,Maine Coastal,105,New England Region,1
