FID,COMID,type,HUC10_Name,HUC10,HUC8_Name,HUC8,HUC6_Name,HUC6,HUC4_Name,HUC4,HUC2_Name,HUC2
0,10466473,outlet,Sand Ridge-Bodie Island,301020517,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
16284,10451774,outlet,Plymouth-Roanoke River,301010709,Lower Roanoke,3010107,Roanoke,30101,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
16287,10452202,outlet,Plymouth-Roanoke River,301010709,Lower Roanoke,3010107,Roanoke,30101,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
16291,10452348,outlet,Outlet Cashie River,301010708,Lower Roanoke,3010107,Roanoke,30101,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
16351,10452332,outlet,Plymouth-Roanoke River,301010709,Lower Roanoke,3010107,Roanoke,30101,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
21326,26815201,outlet,Chowan River,301020307,Chowan,3010203,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24127,10480441,outlet,Albemarle Sound-Croatan Sound,301020514,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24128,10482033,outlet,Albemarle Sound-Croatan Sound,301020514,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24132,10480531,outlet,Croatan Sound,301020515,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24134,10482041,outlet,Albemarle Sound-Croatan Sound,301020514,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24900,10466001,outlet,Sand Ridge-Bodie Island,301020517,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24904,10466019,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24910,10466053,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24949,10466157,outlet,North Landing River,301020512,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24957,10466177,outlet,North Landing River,301020512,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24958,10466181,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24961,10466191,outlet,Sand Ridge-Bodie Island,301020517,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24963,10466205,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24973,10466233,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
24979,10466517,outlet,North Landing River,301020512,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25032,10476959,outlet,North Landing River,301020512,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25033,10476975,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25034,10476979,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25035,10476977,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25036,10476971,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25037,10476969,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25038,10476967,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25039,10476983,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25043,10476997,outlet,Sand Ridge-Bodie Island,301020517,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25044,10477003,outlet,Sand Ridge-Bodie Island,301020517,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25045,10476991,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25046,10476993,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25047,10476989,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25048,10477005,outlet,Sand Ridge-Bodie Island,301020517,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25049,10476981,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25057,10477021,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25058,10477025,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25060,10477071,outlet,North River,301020510,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25062,10477097,outlet,North River,301020510,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25064,10477083,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25070,10477043,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25071,10477047,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25072,10477057,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25073,10477059,outlet,Currituck Sound,301020513,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
25075,10477073,outlet,Sand Ridge-Bodie Island,301020517,Albemarle,3010205,Albemarle-Chowan,30102,Chowan-Roanoke,301,South Atlantic-Gulf Region,3
