COMID,lengthKM,Tidal,SLOPE,width_bkfl_m,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,CANADSKEL_,CANADSKEL1,UID_V6,F_CODE,HYC,VTR,YSS,LAKEUID,NAME_EN,NOM_FR,CGNDB_EN,CGNDB_FR,CGNS_FID,DATE_E,coast,outlet
1992640,8.469976223,0,0,2.964971101,199264,199265,2,2,0.0866,201950,26737,1282105,BH140,8,0,0,0, , , , , ,2003,0,0
1992660,14.96104206,0,0,4.763885946,199266,199267,2,2,0.1568,201951,26745,1284105,BH140,8,0,0,0, , , , , ,2003,0,0
1992650,9.423980549,0,0,12.3949995,199265,199267,2,2,0.11993,201952,26762,1286105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,2003,0,0
1992680,10.8734779,0,0,3.651268608,199268,199269,2,2,0.11452,201953,26704,8007105,BH140,8,0,0,0, , , , , ,20070920,0,0
1992700,6.672346502,0,0,2.430339047,199270,199271,2,2,0.06647,201954,26683,7636105,BH140,8,0,0,0, , , , , ,20070418,0,0
1992690,4.003872613,0,0,29.66747135,199269,199271,2,2,0.05506,201955,26708,8008105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,20070920,0,0
1992720,1.841162864,0,0,25.00505489,199272,199269,2,2,0.02339,201956,26738,8009105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,20070920,0,0
1992670,3.555907877,0,0,20.47791612,199267,199272,2,2,0.04916,201957,26751,1285105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,2003,0,0
1992730,10.95855094,0,0,3.675063885,199273,199274,2,2,0.13368,201958,26645,1276105,BH140,8,0,0,0, , , , , ,2003,0,0
1992750,8.716244695,0,0,3.0366534,199275,199274,2,2,0.10606,201959,26649,1277105,BH140,8,0,0,0, , , , , ,2003,0,0
1992710,8.074001227,0,0,40.40926041,199271,199276,2,2,0.09576,201960,26795,1281105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,2003,0,0
1992770,15.12817204,0,0,4.808201598,199277,199272,2,2,0.17674,201961,26925,1295105,BH140,8,0,0,0, , , , , ,2003,0,0
1992780,5.541290937,0,0,2.081758696,199278,199279,2,2,0.05666,201962,27437,5320105,BH140,8,0,0,0,Rivière York,Rivière York,EINNC,EINNC,2cec12febf0511d892e2080020a0f4c9,20061211,0,0
1992760,8.394891911,0,0,56.64871482,199276,199280,2,2,0.09879,201963,26795,1287105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,2003,0,0
1992810,14.04261698,0,0,4.518857106,199281,199282,2,2,0.14685,201964,27151,1310105,BH140,8,0,0,0, , , , , ,2003,0,0
1992830,0.806157273,0,0,0.417476027,199283,199284,2,2,0.00776,201965,28127,7921105,BH140,8,0,0,0, , , , , ,20070920,0,0
1992740,9.381303942,0,0,12.34819673,199274,199285,2,2,0.09806,201966,26794,1288105,BH140,8,0,0,0, , , , , ,2003,0,0
1992800,1.36958826,0,0,71.45408468,199280,199285,2,2,0.01467,201967,26795,1289105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,2003,0,0
1992790,4.884783984,0,0,4.682349577,199279,199286,2,2,0.05799,201968,27437,5318105,BH140,8,0,0,0,Rivière York,Rivière York,EINNC,EINNC,2cec12febf0511d892e2080020a0f4c9,20061211,0,0
1992840,3.308517195,0,0,5.1800815,199284,199287,2,2,0.03711,201969,28175,7925105,BH140,8,0,0,0, , , , , ,20070920,0,0
1992880,5.907071331,0,0,2.195681789,199288,199289,2,2,0.05808,201970,27436,1334105,BH140,8,0,0,0, , , , , ,2003,0,0
1992860,3.01981935,0,0,6.708447589,199286,199289,2,2,0.03702,201971,27437,5319105,BH140,8,0,0,0,Rivière York,Rivière York,EINNC,EINNC,2cec12febf0511d892e2080020a0f4c9,20061211,0,0
1992850,4.24711412,0,0,85.7625708,199285,199290,2,2,0.05153,201972,26816,1292105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,2003,0,0
1992870,1.750598761,0,0,8.084510249,199287,199291,2,2,0.02306,201973,28183,7927105,VT001,0,1,0,11255, , , , , ,20070920,0,0
1992920,4.004271481,0,0,1.587939703,199292,199293,2,2,0.04999,201974,28134,7924105,BH140,8,0,0,0, , , , , ,20070920,0,0
1992910,3.726164927,0,0,10.17761602,199291,199293,2,2,0.05103,201975,28176,7926105,BH140,8,0,0,0, , , , , ,20070920,0,0
1992940,10.81687278,0,0,3.635418757,199294,199284,2,2,0.12708,201976,28280,8003105,BH140,8,0,0,0, , , , , ,20070920,0,0
1992900,3.033111624,0,0,95.59637863,199290,199295,2,3,0.04092,201977,26815,1291105,BH140,8,0,0,0, , , , , ,2003,0,1
1992960,3.295525533,0,0,1.349959937,199296,199297,2,2,0.03315,201978,27882,1343105,BH140,8,0,0,0,Rivière Bonaventure,Rivière Bonaventure,EFPAF,EFPAF,21c99f8fbbeb11d892e2080020a0f4c9,2003,0,0
1992980,10.40223917,0,0,3.518891493,199298,199299,2,2,0.11895,201980,28128,7922105,BH140,8,0,0,0, , , , , ,20070920,0,0
1993000,8.068298977,0,0,2.847301397,199300,199299,2,2,0.08528,201981,28129,7923105,BH140,8,0,0,0, , , , , ,20070920,0,0
1993010,25.31413532,0,0,7.384716036,199301,199265,2,2,0.26336,201982,27216,1317105,BH140,8,0,0,0,Rivière Dartmouth,Rivière Dartmouth,EGBZM,EGBZM,a197450ebe0c11d892e2080020a0f4c9,2003,0,0
1992990,4.689475917,0,0,6.927942418,199299,199302,2,2,0.0567,201983,28252,7928105,BH140,8,0,0,0, , , , , ,20070920,0,0
1992930,8.097896866,0,0,17.78544025,199293,199302,2,2,0.09257,201984,28262,7929105,BH140,8,0,0,0, , , , , ,20070920,0,0
1993040,3.774487918,0,0,108.4489508,199304,199303,2,2,0.05224,201985,27072,1303105,BH140,8,0,0,0,Rivière York,Rivière York,EINNC,EINNC,2cec12febf0511d892e2080020a0f4c9,2003,0,1
1993050,4.299865264,0,0,99.89703729,199305,199304,2,2,0.06036,201986,27072,1308105,BH140,8,0,0,0,Rivière York,Rivière York,EINNC,EINNC,2cec12febf0511d892e2080020a0f4c9,2003,0,0
1993060,12.34852577,0,0,4.059680491,199306,199305,2,2,0.12823,201987,27090,1309105,BH140,8,0,0,0, , , , , ,2003,0,0
1993070,14.51867641,0,0,4.646188596,199307,199308,2,2,0.1613,201988,27230,1319105,BH140,8,0,0,0, , , , , ,2003,0,0
1993100,19.51461601,0,0,5.944916059,199310,199311,2,2,0.22319,201991,27170,1312105,BH140,8,0,0,0,La Grande Fourche,La Grande Fourche,EGKDA,EGKDA,9a581720be1311d892e2080020a0f4c9,2003,0,0
1993080,3.561935118,0,0,81.00867289,199308,199311,2,2,0.04912,201992,27204,1315105,BH140,8,0,0,0,Rivière York,Rivière York,EINNC,EINNC,2cec12febf0511d892e2080020a0f4c9,2003,0,0
