ComID,LengthKM,Tidal,SLOPE,Width_bkfl_m
4287293,1.598,0,0.05049723,1.70781451
4287725,0.069,0,0.00086956,3.757116554
4287325,4.6009998,0,0.01312289,3.751837054
4287329,3.7750001,0,0.02487172,3.423495804
4287731,0.048,0,0.00001,3.423495804
4288033,0.024,0,0.00001,1.454395049
4287323,1.824,0,0.056816,1.453421233
4287333,3.78,0,0.03506751,3.399007855
4287961,0.037,0,0.00001,3.399007855
4287637,2.086,0,0.0345971,2.277638637
4287327,6.0469999,0,0.0227692,3.254737298
4287977,0.107,0,0.00934579,3.281165549
4287647,3.7850001,0,0.02186519,3.143654434
4288037,0.03,0,0.1332258,3.143654434
4287341,3.108,0,0.07362745,2.171346863
4287767,0.067,0,0.01447761,2.181105775
4287773,0.071,0,0.00577464,2.378591314
4287347,3.1159999,0,0.06049561,2.376804914
4287659,3.971,0,0.02475791,3.740877245
4287429,2.865,0,0.03811049,2.656949047
4287995,0.034,0,0.00001,3.183485938
4287349,0.313,0,0.02495207,3.183041162
4287401,3.516,0,0.03018711,2.016505016
4287367,2.3889999,0,0.01528596,2.428076967
4287437,2.1570001,0,0.00990727,3.394422767
4287425,0.042,0,0.00001,2.078736078
4287883,1.424,0,0.00001,2.078736078
4287445,2.2390001,0,0.05932503,1.764090791
4287415,2.3970001,0,0.05491321,1.887393292
4287471,2.4849999,0,0.04939614,2.447822477
4287465,2.721,0,0.05283936,2.125212836
4287431,2.1849999,0,0.0617199,2.590028942
4287469,1.7970001,0,0.07661202,1.533990248
4287825,0.06,0,0.0105,1.535835095
4287839,0.015,0,0.00001,2.695568749
4287837,0.072,0,0.00001,2.698193707
4287489,4.5009999,0,0.0417743,2.69504345
4287501,0.891,0,0.03346801,1.153641886
4287893,0.253,0,0.00001,0.874387557
4287671,5.612,0,0.02727904,3.577596064
4287859,0.009,0,-9998,3.577596064
4287857,0.053,0,0.00001,3.577596064
4287889,0.177,0,0.00001,0.64077578
4287865,0.005,0,0.00001,2.094342933
4287493,3.0669999,0,0.05309115,2.08757168
4287863,0.277,0,0.00001,2.127876011
4287495,1.73,0,0.05769133,1.484266499
4288349,1.142,0,0.09244308,1.811606227
4288585,0.157,0,0.00001,1.819404826
4288399,2.118,0,0.05620111,1.257011313
4288407,1.987,0,0.06371257,1.347259025
4288413,2.0280001,0,0.04851437,1.966022177
4287519,0.201,0,0.01796019,1.9867969
4287537,2.0009999,0,0.05288492,1.204084781
4287549,0.221,0,0.00001,1.661592008
4288887,1.918,0,0.04712832,1.642738884
4288885,0.778,0,0.03930591,0.879231847
24892784,0.144,0,0.012,0.568165046
4287531,0.71,0,0.02428169,8.860332743
4287535,1.474,0,0.00747625,8.499185655
4287539,2.0339999,0,0.00388397,5.976047871
4287545,0.721,0,0.01708737,4.856737012
4288879,0.51,0,0.03184313,4.631717573
166157974,0.656,0,0.03849085,2.905380884
4288891,2.1199999,0,0.01348113,3.119692959
4288991,0.55,0,0.00005,2.160233469
4287675,2.0999999,0,0.0278923,2.49650309
4287533,3.2360001,0,0.01263288,5.855665045
4287521,0.281,0,0.01434163,4.601355383
4287513,1.141,0,0.00648553,4.223693171
4287505,1.788,0,0.03256566,1.950840311
4287523,1.193,0,0.02717518,2.249491534
4287899,0.723,0,0.00001745,1.973927982
4287509,0.371,0,0.00706199,1.69533336
4287895,0.34,0,0.00001,1.616675799
4287507,1.877,0,0.03555298,1.794330003
4287515,1.244,0,0.01459807,1.591075712
4287897,0.127,0,0.00001,0.841379819
4287527,3.043,0,0.02658713,2.036069626
4288385,0.486,0,0.0265432,5.127310905
4287503,0.498,0,0.0304016,5.074852668
4292659,0.026,0,0.04538461,5.082101266
4287673,2.4200001,0,0.02692951,2.410520143
4287511,6.7480001,0,0.01715108,4.351162199
4288607,0.007,0,-9998,2.285085977
4288519,3.201,0,0.04746968,2.285085977
4288605,0.72,0,0.00451388,2.439711327
4288517,2.9779999,0,0.02637906,3.233351599
4288617,0.052,0,0.01826923,3.233789455
4288619,0.01,0,-9998,3.233351599
4288633,0.143,0,0.00001,1.663295332
4288365,2.355,0,0.08277097,1.654761179
4288369,5.0209999,0,0.03055972,2.682933201
4288629,0.132,0,0.00001,2.752225281
4288353,1.799,0,0.06151607,1.306714598
4288639,0.11,0,0.00027272,1.315354127
4288527,4.1129999,0,0.03703432,3.636474336
4288401,0.547,0,0.0557404,2.74862188
4288411,2.609,0,0.04700406,1.981087701
4288405,2.5669999,0,0.05447248,1.778478721
4288397,3,0,0.05519298,1.912728564
4288375,2.829,0,0.03037822,3.328292679
4288387,2.2839999,0,0.04945173,1.656471527
4288381,2.2980001,0,0.04839851,1.678547467
4289183,3.6630001,0,0.03356959,4.189023867
4289635,0.082,0,0.01195121,4.192402385
4289643,0.079,0,0.01848101,3.402338584
4289195,3.007,0,0.04145257,3.401089943
4289209,0.978,0,0.02501022,5.579052479
4289645,0.065,0,0.002,5.57981376
4289225,3.0079999,0,0.0121666,4.266052902
4289207,2.3959999,0,0.04219056,3.135988622
4289667,0.095,0,0.02736842,4.902003313
4289227,3.8469999,0,0.01948051,4.898825165
4289681,0.077,0,0.01012987,5.780959035
4289243,6.5560002,0,0.02131147,5.779979294
4289691,0.111,0,0.03666666,2.590028942
4289255,2.0090001,0,0.04017919,2.585104408
4290027,0.186,0,0.00001,1.649619496
4289289,2.1500001,0,0.00050232,6.953687344
4289765,0.144,0,0.00001,6.955519592
4289563,3.6659999,0,0.0179323,4.408059455
4289305,3.2780001,0,0.01014386,4.615794657
4289783,0.639,0,0.00932707,2.932060791
4289303,2.128,0,0.03444388,1.761681379
4289803,0.476,0,0.00115546,0.994110819
4289313,0.151,0,0.00001,0.602042391
4289807,0.095,0,-9998,0
4289809,0.182,0,0.00001,4.736004358
4289325,2.0739999,0,0.0002025,4.726428199
4289333,3.7119999,0,0.00209432,4.414478651
4289833,0.187,0,0.00491978,4.463914444
4289817,0.109,0,0.00001,0.534789379
4289319,0.694,0,0.00054755,0.496342785
4289827,0.143,0,-9998,0
4289323,0.036,0,0.00333333,0.212854128
4289321,0.307,0,0.0010828,0.17648932
4289821,0.117,0,0.00001,0.225765896
4289823,0.005,0,-9998,0.17648932
4289839,0.205,0,0.00829268,1.376369834
4289841,0.015,0,-9998,1.345155575
4290043,0.397,0,0.00004048,1.34304883
4289327,0.037,0,0.00081081,1.345155575
4289337,4.1479998,0,0.02091545,3.490661691
4289847,0.073,0,0.00616438,3.49512053
4289849,0.005,0,0.146,3.491472812
4289341,2.1370001,0,0.00553111,5.827306973
4289853,0.039,0,0.00076923,5.827306973
4289345,0.556,0,0.00001,3.751459663
4290053,0.771,0,0.00001,2.501036009
4289351,3.1059999,0,0.01760148,3.443700893
4289873,0.011,0,-9998,5.428823578
4289373,4.092,0,0.00926433,5.428823578
4289871,0.055,0,0.00345454,5.428823578
4289889,0.181,0,0.00001,0.615991169
4289893,0.101,0,-9998,0
4289363,0.458,0,0.00001,0.545276444
4289383,2.9330001,0,0.01160245,6.479607963
4289907,0.065,0,0.00230769,6.479826467
4289395,3.1240001,0,0.01440484,2.810258977
4289399,2.549,0,0.0122426,2.858710982
4289389,1.475,0,0.00526779,3.799088438
4289413,0.109,0,0.01183486,1.445607084
4289921,0.603,0,0.00184079,4.215304497
4289937,0.19,0,0.01331578,2.643593433
4289409,0.915,0,0.01369398,2.593852671
4289401,1.4680001,0,0.01072888,3.020541832
4289939,0.226,0,0.01132743,1.546857977
4289927,0.223,0,0.00565022,3.628679099
4290065,0.203,0,0.00001,1.409907571
4289935,0.008,0,-9998,2.593852671
4289949,0.068,0,0.00661764,6.065642442
4289617,6.6079998,0,0.00925518,6.065409018
4289443,2.4690001,0,0.01711082,2.737266023
4289961,0.061,0,0.03065573,2.739334226
4289447,0.59,0,0.00294915,4.230726803
4290005,0.028,0,0.02285714,4.230726803
4289445,4.1300001,0,0.0099372,3.789012747
4289451,0.555,0,0.00001,0.780263545
4290093,0.039,0,-9998,0
4289459,2.3139999,0,0.01911275,2.252636358
4289461,2.6589999,0,0.01217616,5.263030853
4290273,5.5300002,0,0.01521747,5.598306372
4290277,1.169,0,0.00007698,4.26505713
4290449,0.037,0,0.00001,4.26538908
4290275,3.776,0,0.01834804,2.921418067
4290281,1.6720001,0,0.00001,2.268919179
4290451,0.05,0,-9998,0
4290285,6.7690001,0,0.0112449,8.34129542
4290457,0.058,0,0.00001,8.341465157
4290289,5.9219999,0,0.00784303,5.294412179
4290565,1.166,0,0.01212598,1.873086095
4290291,3.425,0,0.01494014,2.91462519
4290325,4.9640002,0,0.01120506,6.292036084
4292699,0.026,0,0.00001,10.08645622
4290481,0.424,0,0.00001,10.08617547
4290413,5.533,0,0.00584854,13.79719246
4290421,4.8759999,0,0.00129819,10.07184712
4290479,2.359,0,0.00113183,12.83406258
4290345,1.752,0,0.0105936,7.6041374
4290347,1.938,0,0.01299793,4.282945603
4290579,2.78,0,0.0182022,3.311233148
