ComID,LengthKM,Tidal,SLOPE,Width_bkfl_m
1049993,0.92,0,0.00104347,9.116302777
1049983,1.353,0,0.00096082,7.999040022
1050019,3.136,0,0.00215561,7.270028005
1050023,0.481,0,0.00153846,4.285259012
1050041,1.827,0,0.00468527,3.835437081
1050061,0.778,0,0.01222365,1.821737896
1052703,0.405,0,0.01664197,1.442665866
1050521,2.068,0,0.00529497,15.99781454
1050511,0.344,0,0.00090116,15.63083535
1052133,3.62,0,0.00480662,15.53452391
1052103,3.778,0,0.00051879,15.10570878
1050439,3.154,0,0.00226696,14.57982805
1050401,0.355,0,0.00101408,14.02860506
1050395,4.195,0,0.00215971,13.0741869
1050327,1.427,0,0.00208829,12.59048363
1050319,2.555,0,0.0024814,12.17787933
1050295,1.865,0,0.0014638,11.78580632
1050323,0.575,0,0.00170434,11.36753646
1050329,0.436,0,0.00001,11.2561401
1050335,1.481,0,0.00045239,10.33315817
1050309,1.927,0,0.00090295,9.380536019
1050311,0.028,0,0.00001,8.958541989
1050313,1.295,0,0.00250193,8.054075083
1050263,0.977,0,0.00289662,7.152025414
1050283,0.991,0,0.00478304,6.889251663
1050259,1.054,0,0.00134724,6.176209297
1050237,0.801,0,0.0034332,5.894945035
1050189,3.668,0,0.01076063,3.6442529
1051109,1.081,0,0.00066604,24.88334407
1052303,2.042,0,0.00142507,24.44726036
1052291,1.394,0,0.00160688,24.35645623
1051035,1.041,0,0.00001,24.29458549
1050987,0.187,0,0.00001,24.26000202
1050981,0.476,0,0.00001,24.19413967
1050969,3.214,0,0.00108898,16.56052655
1052255,1.353,0,0.00162601,16.30497706
1052249,0.649,0,0.0014946,16.19283498
1052239,0.664,0,0.00156626,16.15633294
1052233,0.797,0,0.0010414,15.09511371
1052231,1.45,0,0.00133793,14.89570239
1050795,0.052,0,0.00001,14.84771979
1052213,1.762,0,0.0015891,14.84648009
1052175,3.681,0,0.00460472,13.82169639
1050699,0.692,0,0.00333815,13.36623936
1050689,2.485,0,0.00185513,12.56954994
1050637,1.777,0,0.00379853,12.31442078
1050617,0.817,0,0.00037943,12.10920664
1050603,0.752,0,0.00001,11.90069222
1050601,0.59,0,0.00016949,11.78087993
1050591,1.361,0,0.00224099,8.691253976
1050593,1.754,0,0.00304446,7.957158086
1050567,1.775,0,0.00227042,7.224116721
1050561,2.416,0,0.00620447,6.475236348
1050539,1.212,0,0.00799504,5.688374756
1050537,3.183,0,0.00338988,5.102120563
1052113,0.448,0,0.00265625,3.718860729
1050489,3.316,0,0.00684861,3.166540522
