FNODE_,TNODE_
1995140,1995225
1998410,1998355
1998680,1998415
2001630,2001625
2005030,2005055
2005090,2005105
2005050,2005195
2007330,2006675
2011750,2012375
2012370,2012505
2012540,2012605
2012770,2013115
2013380,2013445
2014270,2013885
2028280,2027825
2040680,2040265
2042420,2042445
3516710,3516765
3519860,3519985
3524160,3525155
3543980,3544715
3543450,3544995
3569040,3567475
3573590,3573535
3594410,3599775
3594490,3600125
3599770,3601075
3600210,3602445
3603610,3602585
3603790,3600555
3609020,3610345
3612690,3613485
3619540,3619875
3626090,3626105
3628550,3631545
3635660,3636085
3636710,3639605
3645160,3646155
3655550,3655975
3657800,3657795
3665870,3666315
3674790,3674745
3675260,3675135
3676060,3675015
3676160,3674745
3698340,3696575
3701610,3701095
3701880,3701775
3706990,3708715
3709340,3708715
3709160,3709225
3709720,3710235
3710580,3710235
3714160,3715255
3715530,3715255
3716310,3716585
3717010,3717195
3724290,3727295
3730870,3730885
3768580,3768345
3769260,3769275
3769940,3768345
3781340,3782235
3782240,3783265
3785960,3785835
3788230,3785205
3790610,3789945
3791630,3785965
3796170,3795065
3795950,3796175
3797150,3797045
3799290,3798645
3800500,3800225
3801060,3800505
3804520,3804205
3807400,3807305
3808840,3807405
3801060,3800507
3795950,3796177
1995225,1995290
1998355,1998370
1998415,1998430
2001625,2001730
2005055,2005190
2005105,2005200
2005195,2005380
2006675,2006270
2012605,2012680
2012505,2012790
2012375,2012790
2013115,2013380
2013445,2013530
2013885,2014010
2027825,2027930
2040265,2040270
2042445,2042560
3516765,3516820
3519985,3520740
3525155,3525680
3542900,3541940
3544715,3545360
3544995,3548050
3567475,3567290
3573535,3579120
3600125,3600840
3599775,3601430
3602585,3602870
3602445,3603860
3601075,3608020
3610345,3612440
3613485,3614830
3619875,3620690
3626105,3626620
3631545,3632180
3636085,3636750
3639605,3640230
3646155,3646340
3655975,3657100
3657795,3658150
3666315,3668300
3674745,3674650
3675135,3675070
3696575,3697860
3701095,3701120
3701775,3702220
3709225,3710140
3710235,3710350
3708715,3710930
3715255,3716520
3716585,3716940
3717195,3717670
3727295,3728610
3730885,3733570
3768345,3767150
3782235,3782240
3783265,3783010
3785205,3784650
3785835,3785430
3785965,3785340
3789945,3790130
3795065,3795080
3796175,3796200
3796177,3796900
3797045,3796700
3798645,3798570
3800225,3800030
3800505,3800220
3800507,3800600
3804205,3804270
3807305,3807260
3807405,3807310
1992640,1992650
1992650,1992670
1992660,1992670
1992670,1992720
1992680,1992690
1992690,1992710
1992700,1992710
1992710,1992760
1992720,1992690
1992730,1992740
1992740,1992850
1992750,1992740
1992760,1992800
1992770,1992720
1992780,1992790
1992790,1992860
1992800,1992850
1992810,1992820
1992820,1993150
1992830,1992840
1992840,1992870
1992850,1992900
1992860,1992890
1992870,1992910
1992880,1992890
1992890,1992820
1992910,1992930
1992920,1992930
1992930,1993020
1992940,1992840
1992960,1992970
1992970,1993290
1992980,1992990
1992990,1993020
1993000,1992990
1993010,1992650
1993020,1993400
1993050,1993040
1993060,1993050
1993070,1993080
1993080,1993110
1993100,1993110
1993110,1993120
1993120,1993050
1993130,1993080
1993150,1993130
1993160,1993120
1993190,1993180
1993210,1993220
1993220,1993230
1993230,1993190
1993240,1993250
1993250,1993440
1993260,1993250
1993280,1993210
1993290,1993910
1993300,1993290
1993310,1993320
1993320,1993280
1993340,1993320
1993350,1993360
1993360,1993340
1993370,1993360
1993390,1993400
1993400,1993430
1993410,1993210
1993420,1993430
1993430,1993470
1993440,1994150
1993450,1993440
1993460,1993280
1993470,1993480
1993480,1993550
1993490,1993500
1993500,1993550
1993510,1993520
1993520,1993560
1993530,1993470
1993540,1993530
1993550,1993600
1993560,1993530
1993570,1993580
1993580,1993680
1993590,1993560
1993600,1993950
1993610,1993620
1993620,1993720
1993630,1993620
1993640,1993340
1993650,1993640
1993660,1993500
1993670,1993590
1993680,1993690
1993690,1993840
1993720,1993750
1993730,1993680
1993740,1993710
1993750,1993740
1993760,1993770
1993770,1994100
1993780,1993770
1993790,1993800
1993800,1994200
1993810,1993800
1993820,1993830
1993830,1993670
1993840,1993880
1993880,1994140
1993890,1993880
1993900,1993890
1993910,1994100
1993920,1993910
1993930,1993890
1993940,1993640
1993950,1994120
1993960,1993950
1993970,1993900
1993980,1993990
1993990,1994050
1994000,1993990
1994010,1993520
1994020,1993960
1994030,1993830
1994040,1994050
1994050,1994510
1994060,1994020
1994070,1993930
1994080,1994090
1994090,1994490
1994100,1994480
1994110,1994090
1994120,1994400
1994130,1993960
1994140,1994170
1994150,1994860
1994160,1994150
1994170,1994310
1994180,1994110
1994190,1994200
1994200,1994270
1994210,1994180
1994220,1994020
1994240,1994250
1994250,1994290
1994260,1994250
1994270,1994320
1994280,1994120
1994290,1994410
1994300,1994290
1994310,1994440
1994330,1994320
1994340,1994350
1994350,1994480
1994360,1994350
1994370,1994070
1994380,1994070
1994390,1994400
1994400,1994570
1994410,1994730
1994420,1994430
1994430,1995020
1994440,1994460
1994450,1994430
1994460,1994500
1994470,1994080
1994480,1994630
1994490,1994770
1994500,1994900
1994510,1994860
1994520,1994510
1994530,1994080
1994540,1994550
1994550,1994490
1994560,1994410
1994570,1994940
1994580,1994570
1994590,1994600
1994600,1995100
1994610,1994620
1994620,1994600
1994630,1995150
1994640,1994310
1994650,1994640
1994660,1994620
1994670,1994680
1994680,1994630
1994700,1994710
1994710,1994760
1994720,1994730
1994730,1994710
1994740,1994550
1994750,1994760
1994760,1994870
1994770,1994900
1994800,1994810
1994820,1994810
1994830,1994840
1994840,1994990
1994850,1994840
1994860,1995350
1994880,1994870
1994890,1994680
1994900,1995440
1994910,1994770
1994940,1995040
1994950,1994960
1994960,1995250
1994970,1994980
1994990,1994640
1995000,1995010
1995010,1995020
1995020,1995040
1995030,1994990
1995040,1995080
1995050,1994980
1995060,1995010
1995070,1995080
1995080,1995140
1995090,1995100
1995100,1995240
1995120,1995060
1995130,1995140
1995140,1995220
1995150,1995200
1995160,1995150
1995170,1995030
