FNODE_,TNODE_
0,199264
0,199266
0,199268
0,199270
0,199273
0,199275
0,199277
0,199278
0,199281
0,199283
0,199288
0,199292
0,199294
0,199296
0,199298
0,199300
0,199301
0,199306
0,199307
0,199310
0,199314
0,199316
0,199324
0,199326
0,199330
0,199331
0,199335
0,199337
0,199338
0,199339
0,199341
0,199342
0,199345
0,199346
0,199349
0,199351
0,199354
0,199357
0,199361
0,199363
0,199365
0,199366
0,199373
0,199376
0,199378
0,199379
0,199381
0,199382
0,199386
0,199392
0,199394
0,199397
0,199398
0,199400
0,199401
0,199403
0,199404
0,199406
0,199413
0,199416
0,199419
0,199421
0,199422
0,199424
0,199426
0,199428
0,199430
0,199433
0,199434
0,199436
0,199437
0,199438
0,199439
0,199442
0,199445
0,199447
0,199452
0,199453
0,199454
0,199456
0,199458
0,199459
0,199461
0,199465
0,199466
0,199467
0,199470
0,199472
0,199474
0,199475
0,199479
0,199480
0,199482
0,199483
0,199485
0,199488
0,199489
0,199491
0,199495
0,199497
0,199500
0,199505
0,199507
0,199509
0,199512
0,199513
0,199516
0,199518
0,199519
0,199521
0,199523
0,199526
0,199528
0,199530
0,199532
0,199533
0,199534
0,199538
0,199539
0,199541
0,199543
0,199545
0,199547
0,199550
0,199553
0,199556
0,199559
0,199562
0,199564
0,199567
0,199570
0,199572
0,199574
0,199578
0,199581
0,199587
0,199591
0,199593
0,199596
0,199598
0,199601
0,199602
0,199605
0,199608
0,199610
0,199611
0,199613
0,199615
0,199616
0,199617
0,199618
0,199621
0,199623
0,199625
0,199626
0,199631
0,199635
0,199639
0,199641
0,199642
0,199643
0,199645
0,199647
0,199645
0,199651
0,199652
0,199655
0,199652
0,199664
0,199651
0,199655
0,199671
0,199673
0,199673
0,199679
0,199688
0,199691
0,199701
0,199704
0,199708
0,199711
0,199713
0,199715
0,199718
0,199721
0,199725
0,199726
0,199732
0,199735
0,199743
0,199744
0,199745
0,199749
0,199751
0,199755
0,199762
0,199768
0,199769
0,199771
0,199774
0,199789
0,199794
0,199794
0,199798
0,199801
0,199805
0,199798
0,199808
0,199817
0,199818
0,199820
0,199821
0,199825
0,199818
0,199827
0,199830
0,199838
0,199848
0,199850
0,199852
0,199853
0,199854
0,199856
0,199859
0,199865
0,199869
0,199874
0,199876
0,199877
0,199884
0,199885
0,199886
0,199893
0,199894
0,199901
0,199907
0,199913
0,199925
0,199928
0,199931
0,199932
0,199940
0,199943
0,199944
0,199945
0,199949
0,199951
0,199954
0,199956
0,199961
0,199967
0,199969
0,199970
0,199970
0,199976
0,199979
0,199983
0,199988
0,199995
0,200002
0,200005
0,200022
0,200029
0,200033
0,200034
0,200038
0,200038
0,200047
0,200049
0,200052
0,200054
0,200060
0,200065
0,200070
0,200071
0,200073
0,200073
0,200084
0,200095
0,200097
0,200099
0,200102
0,200108
0,200108
0,200113
0,200117
0,200120
0,200122
0,200134
0,200136
0,200138
0,200142
0,200147
0,200150
0,200153
0,200156
0,200159
0,200165
0,200177
0,200178
0,200182
0,200184
0,200186
0,200188
0,200190
0,200205
0,200210
0,200215
0,200219
0,200227
0,200235
0,200236
0,200241
0,200242
0,200244
0,200245
0,200249
0,200254
0,200258
0,200266
0,200269
0,200279
0,200284
0,200285
0,200286
0,200291
0,200296
0,200304
0,200305
0,200249
0,200312
0,200313
0,200313
0,200316
0,200318
0,200327
0,200335
0,200338
0,200340
0,200343
0,200346
0,200349
0,200351
0,200352
0,200355
0,200362
0,200367
0,200304
0,200379
0,200387
0,200389
0,200390
0,200393
0,200395
0,200400
0,200405
0,200409
0,200395
0,200415
0,200417
0,200420
0,200422
0,200423
0,200425
0,200426
0,200429
0,200430
0,200432
0,200433
0,200435
0,200437
0,200442
0,200443
0,200444
0,200446
0,200456
0,200462
0,200425
0,200467
0,200473
0,200474
0,200477
0,200479
0,200479
0,200481
0,200486
0,200488
0,200492
0,200493
0,200494
0,200444
0,200496
0,200494
0,200518
0,200521
0,200522
0,200527
0,200534
0,200535
0,200536
0,200537
0,200543
0,200545
0,200547
0,200553
0,200556
0,200557
0,200560
0,200561
0,200570
0,200571
0,200573
0,200580
0,200581
0,200583
0,200589
0,200590
0,200596
0,200599
0,200605
0,200605
0,200613
0,200615
0,200616
0,200618
0,200596
0,200571
0,200629
0,200630
0,200631
0,200632
0,200556
0,200639
0,200640
0,200641
0,200647
0,200648
0,200630
0,200656
0,200656
0,200658
0,200580
0,200678
0,200680
0,200682
0,200683
0,200685
0,200689
0,200689
0,200691
0,200691
0,200693
0,200695
0,200702
0,200704
0,200706
0,200707
0,200712
0,200639
0,200717
0,200721
0,200722
0,200722
0,200732
0,200735
0,200738
0,200744
0,200746
0,200748
0,200754
0,200755
0,200757
0,200758
0,200768
0,200769
0,200771
0,200773
0,200775
0,200779
0,200780
0,200787
0,200789
0,200791
0,200754
0,200795
0,200800
0,200802
0,200806
0,200815
0,200816
0,200820
0,200822
0,200823
0,200831
0,200835
0,200837
0,200839
0,200845
0,200848
0,200853
0,200859
0,200787
0,200870
0,200871
0,200876
0,200879
0,200881
0,200884
0,200888
0,200893
0,200897
0,200901
0,200903
0,200905
0,200908
0,200911
0,200916
0,200918
0,200927
0,200933
0,200935
0,200936
0,200937
0,200938
0,200943
0,200952
0,200959
0,200962
0,200964
0,200967
0,200984
0,200990
0,200998
0,201000
0,201001
0,201002
0,201007
0,201017
0,201025
0,201029
0,201033
0,201034
0,201045
0,201047
0,201049
0,201050
0,201052
0,201061
0,201065
0,201068
0,201072
0,201073
0,201074
0,201076
0,201078
0,201079
0,201082
0,201087
0,201090
0,201092
0,201094
0,201101
0,201103
0,201107
0,201114
0,201118
0,201120
0,201122
0,201128
0,201129
0,201130
0,201134
0,201135
0,201138
0,201140
0,201142
0,201144
0,201145
0,201148
0,201149
0,201153
0,201157
0,201166
0,201169
0,201171
0,201174
0,201177
0,201180
0,201187
0,201192
0,201197
0,201202
0,201205
0,201202
0,201210
0,201214
0,201218
0,201219
0,201225
0,201231
0,201258
0,201263
0,201271
0,201274
0,201281
0,201285
0,201288
0,201297
0,201301
0,201218
0,201305
0,201306
0,201308
0,201312
0,201316
0,201319
0,201321
0,201324
0,201335
0,201340
0,201345
0,201349
0,201352
0,201360
0,201362
0,201367
0,201377
0,201384
0,201389
0,201391
0,201392
0,201393
0,201395
0,201406
0,201407
0,201411
0,201413
0,201416
0,201407
0,201421
0,201426
0,201429
0,201436
0,201443
0,201445
0,201446
0,201454
0,201458
0,201462
0,201465
0,201466
0,201466
0,201468
0,201476
0,201481
0,201483
0,201497
0,201498
0,201501
0,201510
0,201516
0,201519
0,201533
0,201537
0,201545
0,201545
0,201546
0,201549
0,201551
0,201557
0,201561
0,201572
0,201575
0,201576
0,201599
0,201605
0,201606
0,201608
0,201609
0,201611
0,201618
0,201622
0,201623
0,201627
0,201635
0,201637
0,201641
0,201642
0,201652
0,201655
0,201660
0,201670
0,201677
0,201680
0,201689
0,201691
0,201693
0,201695
0,201697
0,201725
0,201738
0,201744
0,201751
0,201761
0,201762
0,201775
0,201777
0,201782
0,201785
0,201789
0,201792
0,201794
0,201799
0,201805
0,201810
0,201812
0,201813
0,201815
0,201821
0,201828
0,201792
0,201831
0,201832
0,201761
0,201842
0,201843
0,201845
0,201853
0,201857
0,201858
0,201866
0,201869
0,201870
0,201872
0,201873
0,201875
0,201877
0,201878
0,201880
0,201882
0,201886
0,201888
0,201891
0,201892
0,201895
0,201898
0,201900
0,201906
0,201907
0,201912
0,201914
0,201928
0,201935
0,201937
0,201939
0,201943
0,201945
0,201946
0,201948
0,201949
0,201951
0,201955
0,201957
0,201959
0,201960
0,201964
0,201966
0,201969
0,201973
0,201975
0,201976
0,201981
0,201983
0,201985
0,201989
0,201992
0,201994
0,201995
0,201996
0,201997
0,201999
0,202001
0,202005
0,202006
0,202007
0,202012
0,202013
0,202016
0,202021
0,202023
0,202024
0,202026
0,202027
0,202029
0,202035
0,202037
0,202041
0,202044
0,202047
0,202050
0,202051
0,202057
0,202061
0,202063
0,202065
0,202082
0,202086
0,202089
0,202091
0,202113
0,202121
0,202127
0,202130
0,202134
0,202136
0,202140
0,202142
0,202145
0,202148
0,202152
0,202168
0,202170
0,202173
0,202175
0,202181
0,202183
0,202190
0,202192
0,202194
0,202197
0,202199
0,202205
0,202223
0,202225
0,202230
0,202235
0,202238
0,202248
0,202259
0,202262
0,202271
0,202276
0,202279
0,202291
0,202296
0,202298
0,202302
0,202309
0,202310
0,202311
0,202319
0,202325
0,202330
0,202337
0,202341
0,202342
0,202345
0,202358
0,202362
0,202363
0,202365
0,202366
0,202309
0,202378
0,202388
0,202392
0,202330
0,202398
0,202399
0,202419
0,202421
0,202424
0,202426
0,202427
0,202432
0,202444
0,202447
0,202448
0,202451
0,202454
0,202455
0,202457
0,202460
0,202465
0,202468
0,202469
0,202472
0,202475
0,202480
0,202483
0,202484
0,202487
0,202489
0,202490
0,202487
0,202495
0,202524
0,202533
0,202537
0,202548
0,202552
0,202556
0,202564
0,202565
0,202568
0,202574
0,202579
0,202589
0,202591
0,202596
0,202606
0,202579
0,202617
0,202618
0,202619
0,202621
0,202632
0,202635
0,202648
0,202653
0,202678
0,202679
0,202682
0,202684
0,202688
0,202691
0,202700
0,202708
0,202709
0,202721
0,202724
0,202731
0,202734
0,202737
0,202741
0,202754
0,202759
0,202776
0,202790
0,202796
0,202802
0,202811
0,202815
0,202818
0,202819
0,202821
0,202826
0,202829
0,202830
0,202836
0,202846
0,202849
0,202852
0,202855
0,202857
0,202859
0,202786
0,202862
0,202870
0,202875
0,202877
0,202878
0,202887
0,202893
0,202899
0,202904
0,202912
0,202910
0,202913
0,202912
0,202917
0,202925
0,202929
0,202930
0,202932
0,202934
0,202944
0,202945
0,202948
0,202951
0,202955
0,202967
0,202944
0,202974
0,202978
0,202982
0,202985
0,202987
0,202993
0,202997
0,203001
0,203003
0,203008
0,203011
0,203015
0,203022
0,203024
0,203036
0,203046
0,203051
0,203054
0,203058
0,203060
0,203067
0,203070
0,203084
0,203092
0,203097
0,203099
0,203104
0,203109
0,203110
0,203115
0,203119
0,203121
0,203128
0,203134
0,203128
0,203143
0,203165
0,203167
0,203172
0,203174
0,203184
0,203201
0,203206
0,203208
0,203211
0,203215
0,203237
0,203252
0,203253
0,203262
0,203264
0,203273
0,203276
0,203277
0,203281
0,203286
0,203293
0,203301
0,203313
0,203314
0,203317
0,203320
0,203323
0,203330
0,203333
0,203347
0,203350
0,203353
0,203358
0,203359
0,203362
0,203376
0,203378
0,203390
0,203397
0,203399
0,203401
0,203408
0,203447
0,203449
0,203465
0,203471
0,203475
0,203480
0,203484
0,203485
0,203487
0,203493
0,203494
0,203498
0,203504
0,203514
0,203516
0,203519
0,203521
0,203532
0,203534
0,203541
0,203550
0,203551
0,203581
0,203604
0,203612
0,203614
0,203619
0,203622
0,203629
0,203632
0,203636
0,203639
0,203649
0,203666
0,203669
0,203672
0,203674
0,203677
0,203692
0,203704
0,203708
0,203712
0,203716
0,203721
0,203722
0,203726
0,203727
0,203733
0,203735
0,203744
0,203750
0,203761
0,203763
0,203765
0,203775
0,203791
0,203792
0,203794
0,203800
0,203802
0,203804
0,203808
0,203816
0,203818
0,203824
0,203825
0,203829
0,203831
0,203844
0,203848
0,203853
0,203859
0,203867
0,203869
0,203874
0,203876
0,203879
0,203882
0,203890
0,203897
0,203899
0,203906
0,203915
0,203926
0,203929
0,203930
0,203939
0,203944
0,203951
0,203953
0,203957
0,203964
0,203966
0,203981
0,203983
0,203985
0,203986
0,203988
0,203994
0,203995
0,203999
0,204000
0,204007
0,204010
0,204016
0,204023
0,204028
0,204031
0,204044
0,204046
0,204047
0,204049
0,204050
0,204054
0,204056
0,204061
0,204064
0,204066
0,204071
0,204075
0,204079
0,204080
0,204082
0,204087
0,204091
0,204092
0,204093
0,204096
0,204105
0,204108
0,204110
0,204119
0,204122
0,204124
0,204126
0,204128
0,204131
0,204136
0,204146
0,204162
0,204164
0,204169
0,204171
0,204182
0,204187
0,204191
0,204193
0,204202
0,204207
0,204211
0,204219
0,204223
0,204227
0,204230
0,204231
0,204233
0,204238
0,204239
0,204247
0,204249
0,204252
0,204258
0,204260
0,204261
0,204263
0,204267
0,204270
0,204275
0,204280
0,204289
0,204292
0,204295
0,204304
0,204305
0,204309
0,204311
0,204313
0,204317
0,204324
0,204325
0,204328
0,204333
0,204334
0,204339
0,204342
0,204343
0,204350
0,204351
0,204357
0,204360
0,204365
0,204372
0,204373
0,204375
0,204379
0,204382
0,204395
0,204397
0,204404
0,204406
0,204410
0,238371
0,290330
0,290388
0,290445
0,290462
0,290484
0,290494
0,290501
0,351312
0,351314
0,351316
0,351320
0,351323
0,351325
0,351327
0,351340
0,351346
0,351351
0,351357
0,351361
0,351368
0,351381
0,351386
0,351389
0,351390
0,351401
0,351406
0,351414
0,351419
0,351420
0,351429
0,351432
0,351439
0,351441
0,351446
0,351448
0,351457
0,351459
0,351465
0,351470
0,351473
0,351478
0,351479
0,351483
0,351485
0,351488
0,351492
0,351495
0,351497
0,351501
0,351507
0,351511
0,351512
0,351513
0,351514
0,351517
0,351523
0,351526
0,351529
0,351535
0,351543
0,351547
0,351549
0,351553
0,351558
0,351560
0,351563
0,351565
0,351568
0,351570
0,351573
0,351578
0,351580
0,351582
0,351584
0,351587
0,351590
0,351592
0,351595
0,351599
0,351608
0,351610
0,351619
0,351621
0,351625
0,351627
0,351636
0,351647
0,351653
0,351663
0,351666
0,351670
0,351674
0,351677
0,351680
0,351685
0,351689
0,351690
0,351694
0,351696
0,351703
0,351711
0,351714
0,351715
0,351731
0,351733
0,351738
0,351740
0,351741
0,351743
0,351744
0,351745
0,351749
0,351751
0,351753
0,351755
0,351762
0,351764
0,351765
0,351767
0,351769
0,351771
0,351775
0,351776
0,351779
0,351783
0,351791
0,351792
0,351801
0,351818
0,351821
0,351829
0,351835
0,351839
0,351840
0,351842
0,351846
0,351851
0,351854
0,351858
0,351860
0,351864
0,351867
0,351869
0,351874
0,351876
0,351878
0,351881
0,351883
0,351887
0,351889
0,351891
0,351892
0,351896
0,351900
0,351902
0,351908
0,351911
0,351912
0,351914
0,351915
0,351916
0,351920
0,351927
0,351932
0,351937
0,351939
0,351942
0,351943
0,351949
0,351951
0,351955
0,351957
0,351963
0,351964
0,351969
0,351973
0,351975
0,351981
0,351984
0,351991
0,351997
0,352006
0,352007
0,352010
0,352016
0,352025
0,352027
0,352028
0,352034
0,352036
0,352038
0,352041
0,352047
0,352052
0,352056
0,352058
0,352061
0,352064
0,352066
0,352073
0,352075
0,352082
0,352084
0,352090
0,352094
0,352099
0,352101
0,352108
0,352110
0,352118
0,352122
0,352123
0,352126
0,352129
0,352136
0,352137
0,352138
0,352141
0,352144
0,352145
0,352147
0,352150
0,352152
0,352153
0,352156
0,352157
0,352161
0,352165
0,352169
0,352175
0,352180
0,352182
0,352184
0,352187
0,352192
0,352197
0,352199
0,352201
0,352206
0,352209
0,352212
0,352216
0,352218
0,352223
0,352225
0,352227
0,352229
0,352232
0,352234
0,352236
0,352237
0,352240
0,352242
0,352245
0,352251
0,352253
0,352258
0,352260
0,352261
0,352262
0,352264
0,352273
0,352276
0,352280
0,352281
0,352283
0,352285
0,352291
0,352292
0,352294
0,352298
0,352302
0,352304
0,352306
0,352308
0,352311
0,352318
0,352320
0,352325
0,352326
0,352332
0,352334
0,352336
0,352340
0,352342
0,352344
0,352347
0,352349
0,352354
0,352371
0,352373
0,352379
0,352381
0,352383
0,352385
0,352389
0,352392
0,352398
0,352404
0,352405
0,352406
0,352409
0,352410
0,352415
0,352417
0,352421
0,352432
0,352434
0,352436
0,352439
0,352446
0,352448
0,352450
0,352454
0,352456
0,352464
0,352465
0,352469
0,352471
0,352476
0,352479
0,352482
0,352485
0,352488
0,352490
0,352491
0,352497
0,352501
0,352504
0,352506
0,352509
0,352511
0,352512
0,352513
0,352519
0,352520
0,352523
0,352529
0,352533
0,352538
0,352542
0,352543
0,352550
0,352554
0,352557
0,352562
0,352569
0,352576
0,352579
0,352584
0,352585
0,352587
0,352591
0,352592
0,352600
0,352604
0,352611
0,352623
0,352624
0,352632
0,352636
0,352638
0,352641
0,352643
0,352645
0,352650
0,352652
0,352655
0,352659
0,352660
0,352662
0,352663
0,352669
0,352675
0,352678
0,352680
0,352684
0,352686
0,352688
0,352690
0,352691
0,352692
0,352695
0,352702
0,352703
0,352709
0,352711
0,352716
0,352720
0,352724
0,352726
0,352728
0,352733
0,352736
0,352738
0,352740
0,352742
0,352747
0,352748
0,352753
0,352754
0,352761
0,352762
0,352763
0,352766
0,352770
0,352777
0,352781
0,352785
0,352787
0,352788
0,352792
0,352797
0,352799
0,352805
0,352807
0,352809
0,352815
0,352816
0,352821
0,352823
0,352824
0,352827
0,352834
0,352838
0,352840
0,352843
0,352850
0,352851
0,352853
0,352857
0,352859
0,352861
0,352863
0,352866
0,352868
0,352870
0,352871
0,352874
0,352875
0,352877
0,352879
0,352884
0,352887
0,352893
0,352896
0,352898
0,352905
0,352908
0,352912
0,352917
0,352920
0,352922
0,352924
0,352931
0,352932
0,352934
0,352937
0,352940
0,352946
0,352953
0,352956
0,352963
0,352965
0,352971
0,352973
0,352975
0,352976
0,352979
0,352981
0,352990
0,352995
0,352999
0,353004
0,353009
0,353013
0,353015
0,353022
0,353024
0,353025
0,353028
0,353031
0,353035
0,353037
0,353041
0,353044
0,353045
0,353050
0,353058
0,353060
0,353062
0,353064
0,353068
0,353069
0,353072
0,353079
0,353081
0,353085
0,353091
0,353095
0,353101
0,353103
0,353106
0,353107
0,353109
0,353112
0,353114
0,353115
0,353119
0,353123
0,353127
0,353133
0,353145
0,353150
0,353152
0,353153
0,353166
0,353167
0,353169
0,353174
0,353179
0,353183
0,353185
0,353190
0,353192
0,353195
0,353196
0,353199
0,353201
0,353208
0,353210
0,353219
0,353221
0,353224
0,353225
0,353227
0,353228
0,353231
0,353233
0,353236
0,353238
0,353244
0,353249
0,353250
0,353251
0,353253
0,353254
0,353256
0,353258
0,353264
0,353266
0,353267
0,353268
0,353270
0,353272
0,353273
0,353275
0,353280
0,353284
0,353289
0,353291
0,353294
0,353298
0,353302
0,353303
0,353305
0,353312
0,353320
0,353322
0,353331
0,353333
0,353335
0,353337
0,353339
0,353340
0,353342
0,353345
0,353348
0,353350
0,353351
0,353352
0,353355
0,353356
0,353359
0,353360
0,353365
0,353367
0,353368
0,353370
0,353372
0,353374
0,353379
0,353383
0,353384
0,353388
0,353389
0,353391
0,353393
0,353395
0,353398
0,353399
0,353418
0,353421
0,353422
0,353423
0,353425
0,353427
0,353431
0,353436
0,353442
0,353445
0,353447
0,353450
0,353452
0,353454
0,353456
0,353458
0,353459
0,353461
0,353465
0,353474
0,353476
0,353477
0,353479
0,353480
0,353481
0,353486
0,353489
0,353491
0,353504
0,353509
0,353513
0,353516
0,353517
0,353519
0,353520
0,353521
0,353523
0,353527
0,353530
0,353532
0,353536
0,353547
0,353554
0,353568
0,353569
0,353571
0,353572
0,353576
0,353577
0,353581
0,353582
0,353584
0,353586
0,353589
0,353592
0,353594
0,353599
0,353602
0,353609
0,353613
0,353614
0,353617
0,353619
0,353624
0,353625
0,353631
0,353633
0,353634
0,353635
0,353636
0,353641
0,353642
0,353643
0,353646
0,353648
0,353650
0,353661
0,353667
0,353670
0,353672
0,353673
0,353675
0,353676
0,353678
0,353688
0,353692
0,353694
0,353695
0,353698
0,353701
0,353707
0,353709
0,353710
0,353713
0,353714
0,353717
0,353725
0,353727
0,353728
0,353733
0,353738
0,353740
0,353743
0,353744
0,353746
0,353750
0,353753
0,353756
0,353759
0,353763
0,353766
0,353769
0,353774
0,353777
0,353783
0,353784
0,353787
0,353789
0,353799
0,353803
0,353805
0,353808
0,353809
0,353813
0,353817
0,353818
0,353819
0,353821
0,353823
0,353824
0,353828
0,353836
0,353837
0,353839
0,353843
0,353845
0,353847
0,353849
0,353855
0,353860
0,353862
0,353864
0,353872
0,353873
0,353875
0,353876
0,353879
0,353882
0,353884
0,353885
0,353888
0,353890
0,353893
0,353898
0,353902
0,353903
0,353906
0,353913
0,353914
0,353917
0,353918
0,353921
0,353924
0,353925
0,353926
0,353929
0,353931
0,353935
0,353939
0,353947
0,353949
0,353951
0,353952
0,353954
0,353961
0,353967
0,353970
0,353972
0,353974
0,353989
0,353997
0,353998
0,354002
0,354005
0,354013
0,354021
0,354031
0,354033
0,354035
0,354039
0,354043
0,354045
0,354053
0,354056
0,354059
0,354063
0,354067
0,354075
0,354078
0,354079
0,354082
0,354084
0,354087
0,354089
0,354098
0,354103
0,354107
0,354110
0,354113
0,354120
0,354122
0,354125
0,354126
0,354129
0,354131
0,354137
0,354140
