FROMCOMID,TOCOMID
932070046,4529155
4529145,4529139
4529143,4529145
0,4529141
4529141,4529143
0,4529159
4529159,4529145
0,4528187
4528187,4529067
4529067,4529069
0,4529057
4529057,4529081
4529065,4529083
0,4529031
4529031,4529065
0,4529047
4529047,4529059
0,4529025
4529025,4529003
4528971,4528975
4528969,4528971
0,4528957
4528957,4528969
4528989,4528971
0,4529001
4529001,4528989
0,4528985
4528985,4528969
0,4528171
4528171,4528961
4528961,4528943
4528419,4528407
4528423,4528419
4528509,4528423
0,4528177
4528177,4528509
0,4528421
4528421,4528419
0,4528417
4528417,4528149
0,4528139
4528139,4528143
0,4528137
4528137,4528403
4528401,4528415
0,4528133
4528133,4528401
0,4528135
4528135,4528401
0,4528409
4528409,4528413
0,4528405
4528405,4528147
4529567,4528941
0,4528145
4528145,4529567
0,4528945
4528945,4528949
0,4528951
4528951,4528973
4528993,4528995
0,4528997
4528997,4528999
0,4529005
4529005,4529035
4529061,4529099
4529113,4529133
0,4529103
4529103,4529115
4529115,4529133
4529133,4529149
4529121,4529123
0,4529095
4529095,4529121
4529109,4529579
0,4529007
4529007,4529029
4529029,4529109
4529027,4529109
0,4529023
4529023,4529027
4529575,4529101
0,4528955
4528955,4529575
4529581,4529105
0,4529743
4529743,4529581
4529195,4529637
4529637,4529651
4529253,4529195
0,4529281
4529281,4529253
0,4529239
4529239,4529195
4529163,4529639
0,4529209
4529209,4529163
4529639,4539957
4529593,4529655
0,4529255
4529255,4529593
4529655,4529653
4529653,4529657
4539959,4529659
4529659,4529669
4529319,4529303
4529303,4529667
4529665,4539959
4529667,4529665
0,4529359
4529359,4529319
4529599,4529663
4539961,4529661
4529661,4539959
4529663,4539961
0,4529305
4529305,4529599
0,4529327
4529327,4529599
0,4529357
4529357,4529319
4529695,4529697
0,4529597
4529597,4529695
4529321,4529687
0,4529323
4529323,4529321
4529687,4529693
4529417,4529691
4529689,4529693
4529691,4529689
4529415,4529417
0,4529387
4529387,4529405
4529405,4529415
4529459,4529417
0,4529507
4529507,4529459
4529475,4529459
4529479,4529475
0,4529499
4529499,4529479
0,4529477
4529477,4529475
0,4529469
4529469,4529411
4529411,4529415
0,4529609
4529609,4529701
4529701,4529719
4533633,4534475
4529501,4533633
4534475,4534505
0,4533649
4533649,4529503
4529503,4529501
0,4534315
4534315,4534777
4534781,4534551
4534777,4534781
4533735,4534779
4534779,4534783
4534783,4534557
0,4533769
4533769,4533735
0,4534355
4534355,4534585
4534585,4534619
4533945,4534607
4534607,4534599
0,4534365
4534365,4533945
0,4534363
4534363,4533945
4534563,4534575
4533869,4534563
4533865,4533869
4533859,4533865
0,4533853
4533853,4533859
0,4533873
4533873,4533859
0,4533877
4533877,4533865
0,4533887
4533887,4533869
0,4533833
4533833,4534531
4534531,4534517
0,4533857
4533857,4534533
4534533,4534527
0,4533731
4533731,4533819
0,4533671
4533671,4533805
0,4533807
4533807,4533821
0,4533831
4533831,4533855
0,4533885
4533885,4534357
4533847,4534347
0,4533871
4533871,4533847
0,4533889
4533889,4533847
4534351,4534349
0,4534339
4534339,4534525
4534523,4534521
4534525,4534523
4533739,4534499
4534499,4534509
0,4534323
4534323,4533739
4534321,4533739
0,4533727
4533727,4534321
0,4533725
4533725,4534321
4533717,4534319
4533711,4533717
4533703,4533711
4533703,4533713
4534313,4533703
4529511,4534313
4529495,4529511
4529467,4529495
4529383,4529467
0,4529371
4529371,4529383
0,4534311
4534311,4533703
4529465,4529495
4529409,4529465
0,4529339
4529339,4529409
4529421,4529465
0,4529407
4529407,4529421
0,4529341
4529341,4529409
0,4529385
4529385,4529467
4529497,4529511
0,4529485
4529485,4529497
4529483,4529497
0,4529451
4529451,4529483
4533713,4533717
4534331,4534491
4534515,4539739
4539739,4534549
4534491,4534515
4534455,4534331
4533707,4534455
0,4534743
4534743,4533707
0,4533721
4533721,4534327
4534327,4534485
4534485,4534515
4533709,4534455
4529517,4533637
4533637,4533709
4529513,4529517
4529461,4529513
0,4529353
4529353,4529365
4529365,4529461
4529519,4533635
4533635,4533709
0,4529509
4529509,4529519
0,4529521
4529521,4529519
0,4529437
4529437,4529461
0,4529463
4529463,4529513
0,4529515
4529515,4529517
0,4533737
4533737,4534331
0,4534345
4534345,4534547
4539743,4534561
4534547,4539743
0,4533835
4533835,4534541
4534541,4534545
0,4534343
4534343,4534489
4534489,4534487
4534487,4539729
4534481,4534495
4539729,4534481
0,4534333
4534333,4534483
4534483,4539729
4529529,4533659
0,4529527
4529527,4529529
4533659,4534463
4534463,4534467
0,4529613
4529613,4529615
4529433,4529611
0,4528269
4528269,4529419
4529419,4529433
0,4528291
4528291,4529435
4529435,4529433
4529397,4529431
0,4528255
4528255,4529389
4529389,4529397
0,4528249
4528249,4529391
4529391,4529397
4529307,4529325
0,4529311
4529311,4529307
0,4528223
4528223,4529289
4529289,4529297
0,4528439
4528439,4528437
0,4528195
4528195,4528435
0,4529213
4529213,4529291
0,4529299
4529299,4529309
0,4529337
4529337,4529373
0,4529375
4529375,4529393
4529427,4529617
0,4529423
4529423,4529427
0,4529533
4529533,932070056
932070056,932070047
4534465,4534469
932070047,4534465
0,4533751
4533751,4534473
4533767,4534493
4534473,4533767
4534493,4539731
4533841,4534553
4534553,4534571
4539539,4533841
0,4533787
4533787,4539539
4534771,4533841
0,4530669
4530669,4534771
0,4530659
4530659,4533785
4533785,4539539
4534773,4539555
0,4530697
4530697,4534773
4539555,4539745
4530723,4531967
4534569,4534573
4531967,4534569
0,4530711
4530711,4530723
0,4530717
4530717,4530723
4530805,4532897
4532897,4531999
4539773,4532011
4531999,4539773
0,4530787
4530787,4530805
0,4530797
4530797,4530793
4530793,4530805
4530895,4532003
4539801,4532879
4532125,4539801
4532003,4532005
4532005,4532125
0,4530799
4530799,4530891
4530891,4530895
0,4530893
4530893,4530895
4532093,4532177
4539813,4532167
4532177,4539813
0,4531027
4531027,4532093
0,4530939
4530939,4532077
4532077,4539787
4539787,4532177
4532245,4532949
4532133,4532245
4531043,4532133
0,4532721
4532721,4531043
4532085,4532937
0,4532775
4532775,4532965
4532965,4532085
4539775,4532001
0,4530907
4530907,4539775
4532001,4532795
4530883,4531997
0,4530857
4530857,4530883
4531997,4532799
0,4532713
4532713,4530865
4530819,4531963
4531963,4531961
4531961,4539947
0,4530827
4530827,4530819
0,4531799
4531799,4531937
4531937,4531951
0,4531759
4531759,4530665
0,4531753
4531753,4531761
0,4531751
4531751,4530613
0,4531749
4531749,4530605
0,4531745
4531745,4530601
0,4531741
4531741,4530597
4530535,4530567
0,4531733
4531733,4530535
0,4530539
4530539,4528459
4528459,4528299
0,4528277
4528277,4528253
4528263,4528253
4528261,4528263
0,4528265
4528265,4528261
0,4528285
4528285,4528263
0,4528283
4528283,4528261
0,4528247
4528247,4528511
4528511,4528233
4528445,4528227
0,4528259
4528259,4528445
0,4528241
4528241,4528445
4528441,4528215
4528213,4528441
0,4528231
4528231,4528213
0,4528225
4528225,4528441
0,4528211
4528211,4528213
0,4528431
4528431,4528193
4528167,4528173
4528163,4528167
0,4528159
4528159,4528163
0,4528161
4528161,4528163
0,4528165
4528165,4528167
0,4528153
4528153,4528155
0,4528157
4528157,4528169
0,4528175
4528175,4528181
0,4528425
4528425,4528427
0,4528433
4528433,4528199
4528429,4528209
4528185,4528429
0,4528189
4528189,4528185
0,4528183
4528183,4528429
0,4528179
4528179,4528185
4528229,4528513
4528239,4528243
4528243,4528245
4528245,4528251
0,4528453
4528453,4528251
4528443,4528243
4528217,4528443
0,4528201
4528201,4528217
0,4528203
4528203,4528217
0,4528219
4528219,4528443
0,4528449
4528449,4528245
4528251,4528257
4528279,4528293
4528281,4528293
4528267,4528281
4528451,4528267
4528237,4528451
0,4528205
4528205,4528237
0,4528457
4528457,4528281
0,4528235
4528235,4528451
0,4528207
4528207,4528237
0,4528455
4528455,4528267
4528293,4528297
4528293,4528301
0,4528461
4528461,4528307
0,4531735
4531735,4530537
4530569,4530589
4530589,4530599
4530599,4530647
4530647,4530661
4530661,4530667
0,4531757
4531757,4530667
0,4531737
4531737,4530589
4530591,4530599
0,4531743
4531743,4530591
0,4531739
4531739,4530591
0,4531747
4531747,4530647
4531755,4530661
4530621,4531755
4530583,4530621
4530563,4530583
0,4528305
4528305,4530551
4530551,4530563
0,4530553
4530553,4530563
0,4530565
4530565,4530583
0,4530603
4530603,4530621
4530635,4531755
0,4530633
4530633,4530635
0,4530653
4530653,4530635
4530667,4530673
4530675,4531775
0,4531769
4531769,4530675
0,4531763
4531763,4530675
0,4531777
4531777,4531917
4531917,4539765
4539765,4531935
4531941,4531945
4531795,4531941
4531791,4531795
4531791,4530743
4531793,4531791
4531793,4530733
4532895,4531793
4530743,4531943
4531943,4531947
4530733,4531933
4531933,4531939
0,4531773
4531773,4530691
4532995,4530677
0,4530685
4530685,4530689
4530689,4532995
0,4531767
4531767,4530671
4530629,4530643
4530639,4530629
4530641,4531911
0,4530637
4530637,4530641
0,4530631
4530631,4530641
0,4530663
4530663,4531915
0,4530627
4530627,4530629
0,4532703
4532703,4530593
4530593,4530615
0,4530587
4530587,4530579
0,4530577
4530577,4530555
4530529,4530543
4530529,4530533
4530545,4530529
0,4530549
4530549,4530545
0,4532701
4532701,4530573
4530573,4530545
0,4530527
4530527,4530529
0,4528303
4528303,4528309
0,4528275
4528275,4528287
0,4528289
4528289,4528295
0,4528311
4528311,4528315
4530541,4530547
0,4530557
4530557,4530561
4530581,4530595
4531909,4530581
0,4530523
4530523,4531909
0,4530617
4530617,4530619
4530645,4530649
0,4530623
4530623,4530645
4530625,4530645
0,4530609
4530609,4530625
0,4530611
4530611,4530625
0,4530651
4530651,4530655
0,4530657
4530657,4531765
4530679,4530687
0,4531771
4531771,4531779
0,4530703
4530703,4531783
0,4531787
4531787,4531927
4531927,4531931
4530741,4531949
4531949,4531955
4530735,4530741
0,4530727
4530727,4530735
4531923,4530737
4530737,4530741
4530731,4531921
4531921,4531923
0,4530739
4530739,4530731
4531789,4530731
0,4530715
4530715,4531789
4530713,4531789
0,4531781
4531781,4530713
0,4530705
4530705,4530713
0,4530729
4530729,4530735
4530781,4531957
4531957,4532793
0,4532707
4532707,4530781
0,4530841
4530841,4531981
4531981,4532773
0,4530847
4530847,4531975
4531975,4531979
4531803,4530853
0,4530825
4530825,4531803
0,4530897
4530897,4531803
4530757,4530771
4530757,4530767
4531797,4530757
0,4530759
4530759,4531797
0,4530755
4530755,4531797
4530753,4530757
4531785,4530753
0,4530701
4530701,4531785
0,4530699
4530699,4531785
0,4530725
4530725,4530753
0,4530683
4530683,4530693
0,4530695
4530695,4530707
0,4530709
4530709,4530719
0,4530721
4530721,4530775
4530769,4530783
4530779,4530807
4530803,4530809
4530811,4531801
4530765,4530811
0,4530763
4530763,4530765
4530761,4530765
0,4530747
4530747,4530761
0,4530745
4530745,4530761
0,4530795
4530795,4530811
4539769,4531971
4530867,4531973
4531971,4531977
4531973,4539769
0,4530921
4530921,4530867
0,4530903
4530903,4530867
4539783,4532797
4530941,4532055
0,4530947
4530947,4530941
4532055,4539783
4539781,4532057
4532007,4532053
4530965,4532007
4532053,4539781
4530967,4530965
0,4530993
4530993,4530967
0,4530957
4530957,4530963
4530963,4530965
4532303,4532871
4539815,4532303
4532215,4539815
4531109,4532131
0,4532723
4532723,4531109
4531111,4532155
4532131,4531111
4539809,4532161
4532155,4539809
0,4531833
4531833,4532163
4532175,4532215
4532163,4539811
4539811,4532175
4531149,4532213
0,4532731
4532731,4531149
4532213,4532301
4532263,4532787
