FROMCOMID,TOCOMID
6075195,6075995
0,6075191
6075191,6075195
6075181,6075195
0,6075177
6075177,6075181
0,6075175
6075175,6075187
6075189,6075197
6075183,6075189
6076125,6075185
0,6075987
6075987,6076125
6075185,6075183
0,6075179
6075179,6075183
0,6075193
6075193,6075189
0,6075239
6075239,6075243
6075277,6076149
6076149,6076151
6076145,6075277
0,6075259
6075259,6076145
6076153,6075287
6075287,6075273
6075297,6076153
0,6075333
6075333,6075297
6075305,6075297
0,6076349
6076349,6075305
0,6075311
6075311,6075295
0,6075335
6075335,6075313
6075315,6075327
6075407,6075315
0,6075413
6075413,6075407
0,6075329
6075329,6075315
6075433,6075407
0,6076355
6076355,6075433
0,6075431
6075431,6075405
0,6075473
6075473,6076165
0,6075527
6075527,6076189
6075513,6075525
6075507,6075513
6075511,6075507
0,6075485
6075485,6075511
0,6075509
6075509,6075513
0,6075503
6075503,6075507
0,6075487
6075487,6075511
0,6075607
6075607,6075591
6076045,6076207
0,6076363
6076363,6076045
0,6075539
6075539,6076201
0,6076357
6076357,6075497
6075497,6075551
0,6075445
6075445,6076035
6076033,6076185
0,6075483
6075483,6076033
6075463,6076033
6076193,6075463
0,6075481
6075481,6076193
0,6075441
6075441,6076175
0,6076025
6076025,6075409
0,6076023
6076023,6075393
0,6075347
6075347,6075375
6076015,6076019
6076011,6076017
6075289,6076011
0,6075261
6075261,6075289
0,6076007
6076007,6076011
0,6075991
6075991,6075289
0,6076013
6076013,6075323
6075255,6076009
0,6075221
6075221,6075255
0,6075223
6075223,6075255
6075237,6075257
0,6076347
6076347,6075237
6075343,6075341
6075349,6075343
6075351,6075349
6075351,6075355
0,6075319
6075319,6075351
0,6075317
6075317,6075351
6075355,6075343
0,6075367
6075367,6075365
166196087,166196086
166196086,6075369
6075353,166196087
0,6075361
6075361,6075353
0,6075345
6075345,166196087
0,6075337
6075337,6075353
6075403,6076021
6075427,6075403
6075443,6075427
0,6075537
6075537,6075443
0,6075429
6075429,6075427
6075467,6075443
6076205,6075467
6075457,6076205
0,6076361
6076361,6075457
0,6076027
6076027,6075403
0,6075411
6075411,6075423
6075455,6076029
0,6076359
6076359,6075455
6076175,6076179
6076037,6076039
0,6075549
6075549,6076037
0,6076041
6076041,6076037
6075687,6076057
6075619,6075687
6075615,6075619
6076051,6075615
6076051,6075617
6076047,6076051
6076223,6076047
6075547,6076223
6075545,6075547
6075529,6075545
0,6075521
6075521,6075529
0,6075519
6075519,6075529
0,6076043
6076043,6075545
6075571,6075547
0,6075593
6075593,6075571
0,6075609
6075609,6075571
0,6076049
6076049,6076051
6075617,6075619
0,6075667
6075667,6075687
0,6075723
6075723,6075715
0,6075743
6075743,6076063
0,6075765
6075765,6076073
0,6075747
6075747,6075769
6076071,6076277
6076075,6076071
0,6075771
6075771,6076075
0,6075791
6075791,6076075
0,6076085
6076085,6076071
0,6076053
6076053,6075691
0,6075681
6075681,6075689
0,6075673
6075673,6075685
6075731,6075693
6076291,6075731
6076061,6076291
0,6076377
6076377,6076061
6076081,6075773
0,6076087
6076087,6076081
6076091,6076081
0,6076383
6076383,6076091
6075783,6075785
0,6075779
6075779,6075789
0,6078013
6078013,6076107
6076107,6076093
6078029,6078025
6078755,6078029
0,6078679
6078679,6078755
6078129,6078681
0,6078913
6078913,6078129
0,6078111
6078111,6078137
0,6078089
6078089,6078103
6078935,6078027
6078047,6078087
6075859,6078935
6078759,6078047
6078027,6078759
6076309,6075859
6075827,6076309
0,6076385
6076385,6075827
0,6075857
6075857,6078003
6078003,6078011
6075829,6075835
0,6076387
6076387,6075829
0,6075751
6075751,6076069
6075711,6075753
6075635,6075711
0,6075601
6075601,6075635
6075633,6075711
6076241,6075625
0,6075595
6075595,6076241
0,6075683
6075683,6075633
6075603,6075635
6075587,6076239
6076239,6075603
0,6075579
6075579,6075587
6075581,6075587
6075569,6075581
0,6075543
6075543,6075569
6075577,6075581
6075555,6075577
6075557,6075555
6075557,6075553
6075565,6075557
0,6076369
6076369,6075565
6075559,6075557
6075515,6076229
6075499,6075515
6075491,6075499
6075491,6075501
0,6075469
6075469,6075491
0,6075437
6075437,6076213
0,6075459
6075459,6076217
6075435,6075417
0,6075419
6075419,6075417
6075417,6076195
6076195,6075415
6075415,6075399
6075399,6075421
0,6075439
6075439,6075421
6075421,166196086
6075387,6075399
0,6075381
6075381,6075387
0,6075379
6075379,6075387
0,6075471
6075471,6075491
6075501,6075515
0,6075517
6075517,6076227
6075553,6075577
0,6075623
6075623,6075713
6075643,6075651
0,6076373
6076373,6075643
0,6075611
6075611,6075641
0,6075583
6075583,6075613
0,6075531
6075531,6075585
