FROMCOMID,TOCOMID
0,9868790
9868790,9868286
9867094,9867100
0,9868284
9868284,9867094
9867086,9868476
0,9867076
9867076,9868474
9867092,9867094
9868474,9867086
9868476,9867092
0,9868280
9868280,9867106
0,9868278
9868278,9867116
0,9867062
9867062,9867088
0,9867054
9867054,9867060
9867042,9868468
9867044,9867056
0,9867022
9867022,9868464
9868468,9868470
9868464,9867042
9868470,9867044
0,9867006
9867006,9867048
9867034,9867050
9867012,9867034
0,9866982
9866982,9868450
9866978,9868452
0,9868778
9868778,9866978
9867014,9867034
0,9867004
9867004,9868458
9868460,9867014
9868458,9868460
0,9866952
9866952,9867002
0,9866936
9866936,9868448
9866938,9866948
9868448,9866938
0,9866922
9866922,9866930
0,9866932
9866932,9866940
9867010,9867036
0,9868786
9868786,9867010
0,9867066
9867066,9867090
9867118,9867154
0,9868794
9868794,9867118
0,9868814
9868814,9867246
9867246,9867254
0,9867220
9867220,9867248
0,9867268
9867268,9867250
0,9867292
9867292,9868302
0,9868306
9868306,9867302
9867300,25776923
0,9867348
9867348,9868554
9867356,9868326
9868554,9867356
0,9867372
9867372,9867392
0,9867408
9867408,9867450
0,9867520
9867520,9867528
9867580,9867588
0,9868842
9868842,9867580
9867598,9867682
9867684,9867686
0,9868848
9868848,9867684
9867712,9867742
0,9868854
9868854,9867712
9867428,9867472
0,9867422
9867422,9868574
9868574,9867428
0,9867468
9867468,9868594
9867524,9867650
9868606,9867524
9867514,9868606
9867512,9867514
0,9868344
9868344,9867512
0,9868342
9868342,9867512
9867516,9867514
0,9868838
9868838,9867516
9867672,9867646
9868362,9868636
0,9867688
9867688,9868362
9867694,9868362
0,9868856
9868856,9867694
9867664,9868634
9867660,9867664
0,9868852
9868852,9867660
0,9867628
9867628,9868624
9868356,9867664
9868624,9868626
9868626,9868356
0,9867674
9867674,9867652
9868382,9868384
9867736,9868382
9867720,9867736
9868644,9867720
9868378,9868644
0,9868400
9868400,9868378
9867704,9867736
0,9867698
9867698,9868638
9868638,9867704
9867752,9868378
9867758,9867752
0,9868862
9868862,9867758
9867754,9867752
0,9868860
9868860,9867754
0,9868380
9868380,9868382
0,9867776
9867776,9867786
0,9867828
9867828,9867850
0,9867906
9867906,9868410
9868420,9868426
0,9868416
9868416,9868698
9867992,9868420
9868698,9867992
0,9868414
9868414,9868420
0,9868424
9868424,9868064
9868078,9868104
0,9867818
9867818,9867832
0,9867844
9867844,9867886
9867894,9868022
0,9867896
9867896,9867894
9867946,9867894
0,9868872
9868872,9867946
9868024,9868088
0,9868012
9868012,9868024
0,9868014
9868014,9868024
9868090,9868098
0,9868084
9868084,9868090
0,9868146
9868146,9868090
0,9868160
9868160,9868434
9870270,9870286
9871188,9870270
9870322,9871188
0,9870312
9870312,9870322
0,9871186
9871186,9870270
0,9870320
9870320,9870322
9870332,9871188
9871190,9870332
0,9871446
9871446,9871190
0,9870372
9870372,9870332
9870336,9870358
0,9871442
9871442,9870336
0,9870486
9870486,9870484
0,9870542
9870542,9870534
0,9870584
9870584,9870546
0,9870508
9870508,9870504
0,9870560
9870560,9870610
0,9870636
9870636,9870668
0,9870678
9870678,9870670
0,9870706
9870706,9870674
0,9870740
9870740,9870760
9870698,9870742
0,9870700
9870700,9870698
0,9870696
9870696,9870698
0,9870634
9870634,9871270
9870644,9870654
9871270,9870644
9870604,9870646
9870580,9870604
0,9870602
9870602,9870580
9870570,9870580
9870562,9870570
0,9870552
9870552,9870562
9870574,9870562
0,9870572
9870572,9870574
9870586,9870574
0,9871456
9871456,9870586
9870564,9870570
0,9870526
9870526,9870564
0,9870524
9870524,9870564
0,9870582
9870582,9870604
0,9870520
9870520,9870540
9870414,9870402
0,9870432
9870432,9870414
0,9870412
9870412,9870414
0,9870380
9870380,9870356
0,9870404
9870404,9870444
9870446,9870494
0,9870330
9870330,9871214
9871216,9870446
9871214,9871216
0,9870388
9870388,9870406
9870262,9870338
0,9870290
9870290,9870262
9870258,9870262
9868180,9870258
0,9868126
9868126,9868180
9868130,9868180
0,9868878
9868878,9868130
0,9868428
9868428,9868106
0,9868020
9868020,9868000
0,9867986
9867986,9867988
0,9868002
9868002,9868422
0,9868412
9868412,9867938
0,9867842
9867842,9867874
9867876,9867904
0,9867880
9867880,9868668
9868662,9867876
9868668,9868662
9867788,9867802
0,9868398
9868398,9867788
0,9867782
9867782,9867788
0,9867750
9867750,9878346
9867722,9867740
0,9867716
9867716,9867722
9867718,9867722
0,9867678
9867678,9868620
9868620,9867718
9867654,9868610
9867668,9867706
9868612,9867668
0,9868844
9868844,9867654
9868610,9868612
0,9867622
9867622,9868608
9867638,9867670
9868608,9867638
0,9867708
9867708,9867732
0,9867738
9867738,9867730
0,9867748
9867748,9868884
0,9867764
9867764,9867790
0,9867804
9867804,9867830
0,9867840
9867840,9867856
0,9867858
9867858,9867898
0,9867908
9867908,9868684
9867900,9867922
9868684,9867900
0,9867928
9867928,9867940
0,9868026
9868026,9868430
9867948,9867996
0,9867944
9867944,9867948
0,9867942
9867942,9867948
9867890,9867950
0,9867882
9867882,9867890
9867884,9867890
0,9867866
9867866,9868682
9868686,9867884
9868682,9868686
0,9867778
9867778,9867892
0,9867618
9867618,9868394
0,9867542
9867542,9867550
9867498,9867544
9867492,9868584
0,9868832
9868832,9867492
9868584,9867498
9868348,9867620
9867538,9868348
0,9868834
9868834,9867538
0,9867540
9867540,9868348
0,9868364
9868364,9868392
0,9868042
9868042,9868028
9868118,9868176
0,9868876
9868876,9868118
0,9870284
9870284,9870266
9870266,9870340
0,9870416
9870416,9870434
0,9870452
9870452,9870474
0,9870476
9870476,9870492
0,9870498
9870498,9870496
0,9870550
9870550,9870608
0,9870612
9870612,9870606
0,9870658
9870658,9870694
0,9870764
9870764,9871298
9870818,9871326
9870782,9870818
9870750,9870782
9870724,9870750
9870682,9870724
0,9870666
9870666,9870682
0,9870796
9870796,9870818
0,9870748
9870748,9870782
0,9870722
9870722,9870750
0,9870680
9870680,9870724
0,9870664
9870664,9870682
0,9870822
9870822,9871324
0,9870870
9870870,9871338
0,9870920
9870920,9871392
0,9870910
9870910,9870934
0,9870886
9870886,9870890
9870836,9870852
9870846,9870836
0,9869310
9869310,9870844
9870844,9870846
0,9870868
9870868,9870846
9870834,9870836
0,9870820
9870820,9870834
0,9870816
9870816,9870834
0,9870808
9870808,9870830
9870798,9870810
9870778,9870798
9870784,9870778
0,9869298
9869298,9870784
0,9870776
9870776,9870778
0,9870774
9870774,9870798
0,9870726
9870726,9870800
0,9870702
9870702,9870714
0,9870716
9870716,9870728
0,9870854
9870854,9870888
9870892,9870912
0,9870840
9870840,9870892
9870838,9870892
0,9871458
9871458,9870838
0,9870958
9870958,9871384
9870960,9871382
9870952,9870960
9870948,9871372
0,9869338
9869338,9870948
9871372,9870952
9870950,9870960
0,9870942
9870942,9870950
9870944,9870950
0,9870922
9870922,9870944
0,9870924
9870924,9870944
9869696,9869802
0,9869358
9869358,9869696
9869376,9869820
0,9869366
9869366,9869376
9869416,9869434
0,9871066
9871066,9871090
0,9871060
9871060,9871076
9871076,9871088
0,9871040
9871040,9871064
9871004,9871208
0,9871464
9871464,9871004
0,9870978
9870978,9870986
9870990,9870988
9871416,9870990
0,9870972
9870972,9871416
0,9870980
9870980,9870992
0,9871002
9871002,9870994
0,9871206
9871206,9870998
0,9870982
9870982,9871408
0,9871016
9871016,9871014
0,9871028
9871028,9871026
0,9871056
9871056,9871034
9871030,9871018
0,9871048
9871048,9871030
0,9871024
9871024,9871010
0,9871022
9871022,9871008
9871044,9871042
9871050,9871044
9871054,9871050
9871058,9871054
0,9871072
9871072,9871074
9871074,9871058
0,9871046
9871046,9871044
0,9871052
9871052,9871050
0,9871062
9871062,9871058
0,9871096
9871096,9871054
9871086,9871084
9871094,9871080
0,9871098
9871098,9871080
0,9871106
9871106,9871086
9871106,9871094
9871080,9871070
9871092,9871068
0,9869448
9869448,9869456
0,9871132
9871132,9871130
0,9871138
9871138,9871148
9871134,9871140
0,9871122
9871122,9871134
9871124,9871134
9871118,9871124
0,9871114
9871114,9871118
0,9871116
9871116,9871124
0,9871112
9871112,9871118
0,9871126
9871126,9871144
9871156,9871158
9871160,9871152
0,9871164
9871164,9871160
0,9871168
9871168,9871160
9871162,9871146
0,9871170
9871170,9871162
0,9871166
9871166,9871162
9871174,9871136
0,9871178
9871178,9871174
9869746,9869464
9869542,9869746
9869556,9869542
0,9869560
9869560,9869556
9869500,9869746
0,9871172
9871172,9869500
9871182,9869552
9871438,9871182
0,9871184
9871184,9871440
9869552,9869542
9871440,9871438
0,9869504
9869504,9869748
9869748,9869452
9869470,9869440
0,9869492
9869492,9869470
0,9869520
9869520,9869522
9869522,9869508
9869588,9869558
0,9869602
9869602,9869588
9869584,9869530
0,9869592
9869592,9869584
0,9869564
9869564,9869510
0,9869544
9869544,9869758
9869758,9869756
9869750,9869496
0,9869506
9869506,9869750
9869472,9869442
0,9869486
