COMID,downkm,,Q,W,DA
1992640,4.234988112,8.469976223,0.351642145,4.150959542,11.08599183
1992660,7.48052103,14.96104206,0.907784372,6.669440324,28.61423973
1992650,23.55995137,9.423980549,6.145440507,17.3529993,193.6435587
1992680,5.43673895,10.8734779,0.533270498,5.111776051,16.81081022
1992700,3.336173251,6.672346502,0.236261915,3.402474666,7.449007899
1992690,67.13117694,4.003872613,35.20635425,41.53445989,1109.007967
1992720,54.681298,1.841162864,25.0101108,35.00707685,787.8725201
1992670,43.02978401,3.555907877,16.77380195,28.66908257,528.4489863
1992730,5.47927547,10.95855094,0.540243782,5.145089438,17.0305961
1992750,4.358122348,8.716244695,0.368850555,4.25131476,11.62841012
1992710,97.25960554,8.074001227,65.31633306,56.57296457,2057.250157
1992770,7.56408602,15.12817204,0.924752104,6.731482238,29.14898188
1992780,2.770645469,5.541290937,0.173348771,2.914462175,5.465748966
1992760,145.8640582,8.394891911,128.3630756,79.30820075,4042.524109
1992810,7.02130849,14.04261698,0.816802782,6.326399949,25.74690152
1992830,0.403078637,0.806157273,0.006971449,0.584466438,0.219939457
1992740,23.45325986,9.381303942,6.099118497,17.28747542,192.1842084
1992800,192.7207579,1.36958826,204.2274487,100.0357186,6431.174927
1992790,7.327175976,4.884783984,0.876975902,6.555289408,27.64329879
1992840,8.271292987,3.308517195,1.073329774,7.2521141,33.83137069
1992880,2.953535666,5.907071331,0.192840741,3.073954505,6.080221174
1992860,11.27947764,3.01981935,1.800130762,9.391826625,56.73486891
1992850,239.9022661,4.24711412,294.208742,120.0675991,9264.100369
1992870,14.10936816,1.750598761,2.614372239,11.31831435,82.39185103
1992920,2.002135741,4.004271481,0.1008621,2.223115584,3.180528176
1992910,18.59834877,3.726164927,4.143354715,14.24866243,130.5668606
1992940,5.40843639,10.81687278,0.528650782,5.08958626,16.66520445
1992900,273.2721779,3.033111624,365.5467043,133.8349301,11509.95387
1992960,1.647762767,3.295525533,0.072895673,1.889943911,2.298785092
1992980,5.201119585,10.40223917,0.495303894,4.926448091,15.61415916
1993000,4.034149489,8.068298977,0.32428501,3.986221956,10.22367034
1993010,12.65706766,25.31413532,2.181361238,10.33860245,68.7477645
1992990,11.72368979,4.689475917,1.919855446,9.699119385,60.50754041
1992930,36.33444146,8.097896866,12.6528754,24.89961635,398.6417905
1993040,317.9237477,3.774487918,470.4469972,151.8285311,14812.27249
1993050,288.0873796,4.299865264,399.1767223,139.8558522,12568.66178
1993060,6.174262885,12.34852577,0.659240228,5.683552687,20.78108478
1993070,7.259338205,14.51867641,0.863482739,6.504664034,27.21805456
1993100,9.757308005,19.51461601,1.413681078,8.322882483,44.55704029
1993080,224.0375244,3.561935118,262.4962033,113.412142,8265.699629
1992890,63.2508144,33.64095139,31.87979617,39.52353745,1004.238588
1993110,238.6706375,1.444226808,291.6951663,119.5535995,9184.96661
1993120,252.9842132,5.209703362,321.4363914,125.5005306,10121.28851
1993130,209.4073349,3.71491473,234.5480307,107.2047271,7385.793864
1993140,2.549015438,5.098030875,0.150855522,2.718808667,4.756647722
1993150,201.3037433,2.498453695,219.6136581,103.7355737,6915.600224
1992820,146.0905946,21.58556873,128.6955745,79.41085032,4052.993575
1993160,1.533287418,3.066574836,0.064650637,1.779854261,2.038819634
1993180,449.0221096,0.428164146,836.5051329,202.4567893,26335.0786
1993190,439.5149899,1.429698094,807.1894088,198.8775529,25412.31627
1993210,369.0329731,4.615658257,603.1647503,171.9158886,18990.11183
1993230,411.1357841,4.256054885,722.1904977,188.1152157,22736.79589
1993220,399.7471092,1.424714993,689.1511087,183.7618141,21696.79634
1993240,6.13848369,12.27696738,0.652884225,5.656087607,20.58076178
1993260,7.70616986,15.41233972,0.953889833,6.836709867,30.06726028
1993280,262.5282982,18.10567046,341.9045722,129.4346323,10765.66458
1992970,28.05357569,18.70238379,8.221189905,20.0708322,259.0371021
1993300,6.513750515,13.02750103,0.720766825,5.942859111,22.72020934
1993310,7.390934605,14.78186921,0.889733911,6.602799531,28.04537315
1993320,147.3772711,19.55389365,130.5906165,79.99337602,4112.663077
1993340,108.2130572,2.809535241,78.03375679,61.83570233,2457.728585
1993350,17.62322717,35.24645434,3.787588058,13.62320868,119.3577441
1993360,22.64157316,9.056629263,5.751321046,16.78733842,181.2269695
1993370,12.70022053,25.40044105,2.193772989,10.36797359,69.13886261
1993380,7.336737455,14.67347491,0.87888444,6.562418575,27.70344727
1993390,8.12769813,16.25539626,1.04244762,7.147022693,32.85813736
1993020,84.75730343,18.84043228,51.92895565,50.44322379,1635.659214
1993410,9.119155805,18.23831161,1.262939914,7.866641965,39.80671978
1993420,8.323650985,16.64730197,1.084679715,7.29035706,34.1890563
1993400,172.6850038,2.097170043,170.0755053,91.28909988,5355.897816
1993250,26.167136,10.4668544,7.320451748,18.93943335,230.6610393
1993450,12.07786137,24.15572274,2.017510058,9.942735681,63.58472545
1993460,4.918944528,9.837889056,0.451324396,4.702647703,14.22796989
1993430,187.8162931,2.39790272,195.6373012,97.90928331,6160.716615
1993470,371.9937529,0.779879337,611.2533241,173.064765,19244.72733
1993490,7.96038743,15.92077486,1.00692154,7.024183614,31.73854694
1993510,5.16311985,10.3262397,0.489286191,4.896429654,15.42448861
1993530,111.2215032,12.66214429,81.6836197,63.26529353,2572.662446
1993540,16.48319267,32.96638534,3.38802196,12.88460616,106.7684144
1993500,7.995119177,3.198047671,1.014255775,7.049718644,31.96968304
1993480,382.3971663,2.86960196,640.0151554,177.0896457,20150.09939
1993520,11.06325176,4.425300704,1.74297409,9.241522082,54.93377637
1993560,75.3669143,4.817534993,42.69712133,45.74012402,1344.922101
