Total functional habitat: 140.95,,,,,,,
Maximum habitat: 1605.96,,,,,,,
Channel width threshold: 0.00,,,,,,,
Slope threshold: 0.0,,,,,,,
Omit tidal reaches: 1,,,,,,,
UNIQUE_ID, type, catchmentID, habitat_sqkm, habitatSegment_sqkm, functional_habitatSegment_sqkm, PassageToHabitat, Decision
PA_1182920,dam,4188225,14.38509419,0.334249022,0,0,keep
PA_64-095,dam,2743088,0.005263698,0.005263698,0,0,keep
PA_64-085,dam,2743230,0.004483393,0.004483393,0,0,keep
PA_64-080,dam,2739802,0.031759028,0.031759028,0,0,keep
PA_64-073,dam,2617340,0.004793154,0.004793154,0,0,keep
PA_64-072,dam,2617312,0.002553377,0.002553377,0,0,keep
PA_64-070,dam,2616954,0.045414853,0.045414853,0,0,keep
PA_64-058,dam,2739848,0.020280927,0.020280927,0,0,keep
PA_64-056,dam,2739686,0.085873661,0.085873661,0,0,keep
PA_64-053,dam,2739554,1.008303255,0.25011785,0,0,keep
PA_64-047,dam,2742480,0.108123095,0.022249434,0,0,keep
PA_64-035,dam,2616642,0.015539548,0.015539548,0,0,keep
PA_64-028,dam,2617180,0.029243354,0.029243354,0,0,keep
PA_64-025,dam,2598605,0.016826758,0.016826758,0,0,keep
PA_64-024,dam,2617022,0.007062012,0.007062012,0,0,keep
PA_64-022,dam,2616796,0.097886112,0.076087999,0,0,keep
PA_64-019,dam,8088793,0.031398162,0.02410694,0,0,keep
PA_64-016,dam,2616742,0.021798113,0.021798113,0,0,keep
PA_64-015,dam,2616792,0.024732273,0.024732273,0,0,keep
PA_64-014,dam,2739846,0.022182304,0.022182304,0,0,keep
PA_60-044,dam,4519280,0.017860887,0.017860887,0,0,keep
PA_60-021,dam,8154127,0.126559555,0.126559555,0,0,keep
PA_64-105,dam,2739614,0.008762275,0.008762275,0,0,keep
PA_64-109,dam,2739750,0.003579677,0.003579677,0,0,keep
PA_64-114,dam,2742652,0.015479455,0.012129557,0,0,keep
PA_64-125,dam,2617184,0.003581035,0.003581035,0,0,keep
PA_64-228,dam,2616936,0.007742089,0.007742089,0,0,keep
