143.11,Total functional habitat (sq_km),,,,,,
1045.92,Maximum habitat (sq_km),,,,,,
0,Channel width threshold (m),,,,,,
0,Slope threshold (m/m),,,,,,
0,Omit tidal reaches,,,,,,
UNIQUE_ID, type, catchmentID, habitat_sqkm, habitatSegment_sqkm, functional_habitatSegment_sqkm, PassageToHabitat, Decision
7703046,outlet,7703046,226.6858308,32.80018243,32.80018243,1,outlet
5205320,outlet,5205320,176.5905805,25.58220895,25.58220895,1,outlet
1737140,outlet,1737140,143.3125143,16.21215356,16.21215356,1,outlet
6742822,outlet,6742822,89.78228248,7.486427672,7.486427672,1,outlet
2678762,outlet,2678762,7.522721192,6.555828175,6.555828175,1,outlet
5197182,outlet,5197182,23.52561997,4.299808296,4.299808296,1,outlet
2676686,outlet,2676686,4.043007322,3.288352464,3.288352464,1,outlet
6130319,outlet,6130319,7.42054264,3.083216429,3.083216429,1,outlet
5205436,outlet,5205436,4.166441641,2.935839539,2.935839539,1,outlet
5846422,outlet,5846422,14.63754561,2.796754993,2.796754993,1,outlet
5846424,outlet,5846424,14.6006087,2.759818084,2.759818084,1,outlet
7718580,outlet,7718580,35.10567494,2.576934221,2.576934221,1,outlet
6170754,outlet,6170754,23.05849897,2.571901632,2.571901632,1,outlet
5205314,outlet,5205314,4.905296619,2.490220222,2.490220222,1,outlet
2678314,outlet,2678314,2.056108777,1.817050457,1.817050457,1,outlet
6134087,outlet,6134087,12.63075664,1.353657557,1.353657557,1,outlet
6724863,outlet,6724863,10.69738777,1.340234311,1.340234311,1,outlet
2676304,outlet,2676304,1.668693524,1.235772362,1.235772362,1,outlet
6178614,outlet,6178614,2.819889941,0.987703574,0.987703574,1,outlet
9316927,outlet,9316927,32.60944053,0.774884773,0.774884773,1,outlet
5205416,outlet,5205416,1.348774126,0.691865682,0.691865682,1,outlet
6724819,outlet,6724819,0.792119281,0.664358192,0.664358192,1,outlet
2676916,outlet,2676916,0.623242992,0.623242992,0.623242992,1,outlet
2677338,outlet,2677338,0.578937421,0.578937421,0.578937421,1,outlet
5881881,outlet,5881881,1.173038317,0.50550696,0.50550696,1,outlet
5876319,outlet,5876319,0.939924869,0.453787848,0.453787848,1,outlet
5846372,outlet,5846372,0.750177146,0.422647136,0.422647136,1,outlet
2678346,outlet,2678346,4.64814519,0.400535332,0.400535332,1,outlet
6130363,outlet,6130363,0.79702046,0.372328352,0.372328352,1,outlet
6141214,outlet,6141214,4.364592745,0.343864469,0.343864469,1,outlet
6724895,outlet,6724895,2.299854346,0.337246143,0.337246143,1,outlet
2685846,outlet,2685846,0.748705476,0.311285653,0.311285653,1,outlet
5860733,outlet,5860733,0.69051274,0.310399158,0.310399158,1,outlet
2680262,outlet,2680262,0.290075451,0.290075451,0.290075451,1,outlet
2683658,outlet,2683658,0.313003873,0.288574631,0.288574631,1,outlet
5845954,outlet,5845954,0.357461141,0.279747775,0.279747775,1,outlet
5205406,outlet,5205406,0.557199398,0.27478359,0.27478359,1,outlet
2681538,outlet,2681538,7.277327387,0.267628425,0.267628425,1,outlet
2677174,outlet,2677174,0.258592717,0.258592717,0.258592717,1,outlet
5849520,outlet,5849520,0.474792923,0.252734588,0.252734588,1,outlet
6178248,outlet,6178248,0.643525795,0.224606101,0.224606101,1,outlet
5863827,outlet,5863827,0.284389715,0.215405031,0.215405031,1,outlet
2678254,outlet,2678254,0.214359635,0.214359635,0.214359635,1,outlet
2685766,outlet,2685766,0.354413854,0.21386365,0.21386365,1,outlet
5860787,outlet,5860787,1.968907778,0.198433416,0.198433416,1,outlet
2676550,outlet,2676550,0.197129711,0.197129711,0.197129711,1,outlet
5846376,outlet,5846376,0.365011516,0.195990412,0.195990412,1,outlet
5863919,outlet,5863919,0.396848445,0.195246607,0.195246607,1,outlet
6724891,outlet,6724891,0.178568529,0.178568529,0.178568529,1,outlet
5860941,outlet,5860941,0.246764708,0.160926976,0.160926976,1,outlet
6178292,outlet,6178292,0.360748646,0.158641866,0.158641866,1,outlet
6177670,outlet,6177670,0.302136426,0.154663988,0.154663988,1,outlet
2676306,outlet,2676306,0.183245034,0.1515881,0.1515881,1,outlet
